Task,TaskName,Model,Preprocess,F1_mean,F1_std,BA_mean,BA_std,Acc_mean,Acc_std
G1_thiram_molar_grade,Thiram Positive Molar Grade,Spectrum-KAN,p1,0.5720009539028723,0.2955958136648368,0.6247860594073251,0.3214780922182612,0.5798630835352128,0.28588202575057703
G2_mg_molar_grade,MG Positive Molar Grade,Spectrum-KAN,p1,0.3460376559488174,0.0688633402712956,0.44307532036474023,0.08488892310529002,0.41216476228346643,0.11394290431725268
G3_mba_molar_grade,MBA Positive Molar Grade,Spectrum-KAN,p1,0.6022532733097254,0.17487526530033004,0.6285099632584596,0.1632630835892685,0.631445182858202,0.18736273225108535
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p1,0.6827074666810884,0.2147115584859153,0.6999198216943133,0.186365371271197,0.8004827025105005,0.11838410800161248
P2_mg_presence,MG Presence,Spectrum-KAN,p1,0.561381495901698,0.12761822873393402,0.5549807872822219,0.12892652972659885,0.675115050794639,0.09688407258449272
P3_mba_presence,MBA Presence,Spectrum-KAN,p1,0.7913102838390912,0.054441150631065215,0.7953957629508246,0.06855797220985435,0.8526341914544722,0.052644218134161196
