Task,TaskName,Model,Preprocess,Fold,MacroF1,BalancedAcc,Accuracy
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p1,0,0.8579424418361806,0.9131138180433955,0.8938547486033519
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p1,1,0.4098360655737705,0.4770992366412214,0.6944444444444444
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p1,2,0.49024526198439244,0.5327903091060986,0.6497175141242938
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p1,3,0.835431654676259,0.8,0.8797814207650273
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p1,4,0.8200819093348397,0.7765957446808511,0.8846153846153846
P2_mg_presence,MG Presence,Spectrum-KAN,p1,0,0.6052213160999128,0.5982824427480916,0.7597765363128491
P2_mg_presence,MG Presence,Spectrum-KAN,p1,1,0.491665518666483,0.49180557501050565,0.5444444444444444
P2_mg_presence,MG Presence,Spectrum-KAN,p1,2,0.5962591240875912,0.5915071770334928,0.7175141242937854
P2_mg_presence,MG Presence,Spectrum-KAN,p1,3,0.3879037800687285,0.37468166383701185,0.6010928961748634
P2_mg_presence,MG Presence,Spectrum-KAN,p1,4,0.725857740585774,0.7186270777820074,0.7527472527472527
P3_mba_presence,MBA Presence,Spectrum-KAN,p1,0,0.7724576271186441,0.762753036437247,0.7988826815642458
P3_mba_presence,MBA Presence,Spectrum-KAN,p1,1,0.8796791443850267,0.8994560449201614,0.9111111111111111
P3_mba_presence,MBA Presence,Spectrum-KAN,p1,2,0.8052805280528053,0.7834372003835091,0.903954802259887
P3_mba_presence,MBA Presence,Spectrum-KAN,p1,3,0.75188180840619,0.7156862745098039,0.8415300546448088
P3_mba_presence,MBA Presence,Spectrum-KAN,p1,4,0.7472523112327898,0.8156462585034014,0.8076923076923077
G1_thiram_molar_grade,Thiram Positive Molar Grade,Spectrum-KAN,p1,0,0.6084659171950572,0.6864478114478114,0.6126760563380281
G1_thiram_molar_grade,Thiram Positive Molar Grade,Spectrum-KAN,p1,1,0.7407116399146929,0.8804347826086957,0.7480916030534351
G1_thiram_molar_grade,Thiram Positive Molar Grade,Spectrum-KAN,p1,2,0.09433691756272401,0.0998217468805704,0.12280701754385964
G1_thiram_molar_grade,Thiram Positive Molar Grade,Spectrum-KAN,p1,3,0.8732097784099625,0.882051282051282,0.875
G1_thiram_molar_grade,Thiram Positive Molar Grade,Spectrum-KAN,p1,4,0.5432805164319249,0.575174674048266,0.5407407407407407
G2_mg_molar_grade,MG Positive Molar Grade,Spectrum-KAN,p1,0,0.3890351605430236,0.5593265993265993,0.4961832061068702
G2_mg_molar_grade,MG Positive Molar Grade,Spectrum-KAN,p1,1,0.2506864666239463,0.3634525329927629,0.2892561983471074
G2_mg_molar_grade,MG Positive Molar Grade,Spectrum-KAN,p1,2,0.42882404951370473,0.40555155010814703,0.5639097744360902
G2_mg_molar_grade,MG Positive Molar Grade,Spectrum-KAN,p1,3,0.34968054307676955,0.3820333880678708,0.34210526315789475
G2_mg_molar_grade,MG Positive Molar Grade,Spectrum-KAN,p1,4,0.31196205998664295,0.5050125313283208,0.36936936936936937
G3_mba_molar_grade,MBA Positive Molar Grade,Spectrum-KAN,p1,0,0.7259492104611919,0.7260869565217392,0.7456140350877193
G3_mba_molar_grade,MBA Positive Molar Grade,Spectrum-KAN,p1,1,0.36703653945033254,0.3675080232457282,0.34532374100719426
G3_mba_molar_grade,MBA Positive Molar Grade,Spectrum-KAN,p1,2,0.4657492354740061,0.5747126436781609,0.5369127516778524
G3_mba_molar_grade,MBA Positive Molar Grade,Spectrum-KAN,p1,3,0.7602239390605727,0.7723996129656507,0.7878787878787878
G3_mba_molar_grade,MBA Positive Molar Grade,Spectrum-KAN,p1,4,0.692307442102524,0.7018425798810196,0.7414965986394558
