Task,TaskName,Model,Preprocess,F1_mean,F1_std,BA_mean,BA_std,Acc_mean,Acc_std
G1_thiram_molar_grade,Thiram Positive Molar Grade,1D-CNN,p3,0.575253810953423,0.21779763517105002,0.6338689209706453,0.20088310529813594,0.6483377386714375,0.18424258410437053
G1_thiram_molar_grade,Thiram Positive Molar Grade,Chem-KAN,p3,0.6383807085550209,0.23557803310759468,0.7072155436221933,0.19741521447677862,0.6731493042522205,0.21503473870900147
G1_thiram_molar_grade,Thiram Positive Molar Grade,HistGradientBoosting,p3,0.6728181645364211,0.23643821137413043,0.749356824580816,0.18689623317076542,0.6891682836536053,0.22758442784533855
G1_thiram_molar_grade,Thiram Positive Molar Grade,KNN,p3,0.5925044816131604,0.2202071851143317,0.6900907640359831,0.1974050539512343,0.6099206107158404,0.2119077684394119
G1_thiram_molar_grade,Thiram Positive Molar Grade,PLS-DA,p3,0.7825360163454838,0.10303972660834027,0.812991911909493,0.11711542372590852,0.8120330648777416,0.06491451121082686
G1_thiram_molar_grade,Thiram Positive Molar Grade,RF,p3,0.7209385191866263,0.18406597614971412,0.7901854221976324,0.14326679964794037,0.7346658916865927,0.1631496634953141
G1_thiram_molar_grade,Thiram Positive Molar Grade,SVM,p3,0.6143075577261927,0.23714279488791698,0.7081140176025087,0.18285952328208926,0.6320239998874547,0.22157246517876758
G1_thiram_molar_grade,Thiram Positive Molar Grade,Spectrum-KAN,p3,0.6596826318827406,0.28263329528662073,0.7440994002050424,0.2105671769419985,0.6834286667937779,0.2799148003624928
G2_mg_molar_grade,MG Positive Molar Grade,1D-CNN,p3,0.17587921597761613,0.09352110706601979,0.3512770094601385,0.04012327958577655,0.302245243954218,0.1379614811128602
G2_mg_molar_grade,MG Positive Molar Grade,Chem-KAN,p3,0.3647525688631345,0.14700885578764067,0.43765078543541114,0.10635920132303228,0.44649407006322894,0.14650070433823317
