stage,task_id,model,preprocess,n_samples,exact_acc,within_1_acc,mae_levels,adjacent_error_rate
01_screening,G2_mg_molar_grade,Chem-KAN,raw,648,0.5200617283950617,0.9290123456790124,0.5509259259259259,0.8520900321543409
01_screening,G2_mg_molar_grade,HistGradientBoosting,p1,648,0.41512345679012347,0.9506172839506173,0.6342592592592593,0.9155672823218998
01_screening,G2_mg_molar_grade,HistGradientBoosting,p2,648,0.37191358024691357,0.9089506172839507,0.7191358024691358,0.855036855036855
01_screening,G2_mg_molar_grade,HistGradientBoosting,p3,648,0.4058641975308642,0.9320987654320988,0.6620370370370371,0.8857142857142857
01_screening,G2_mg_molar_grade,HistGradientBoosting,p4,648,0.5246913580246914,0.9490740740740741,0.5262345679012346,0.8928571428571429
01_screening,G2_mg_molar_grade,HistGradientBoosting,raw,648,0.5138888888888888,0.9351851851851852,0.5509259259259259,0.8666666666666667
01_screening,G2_mg_molar_grade,KNN,p1,648,0.4228395061728395,0.9429012345679012,0.6342592592592593,0.9010695187165776
01_screening,G2_mg_molar_grade,KNN,p2,648,0.3626543209876543,0.9506172839506173,0.6867283950617284,0.9225181598062954
01_screening,G2_mg_molar_grade,KNN,p3,648,0.4444444444444444,0.9675925925925926,0.5879629629629629,0.9416666666666667
01_screening,G2_mg_molar_grade,KNN,p4,648,0.375,0.9351851851851852,0.6898148148148148,0.8962962962962963
01_screening,G2_mg_molar_grade,KNN,raw,648,0.4012345679012346,0.9459876543209876,0.6527777777777778,0.9097938144329897
01_screening,G2_mg_molar_grade,PLS-DA,p1,648,0.4166666666666667,0.9367283950617284,0.6466049382716049,0.8915343915343915
01_screening,G2_mg_molar_grade,PLS-DA,p2,648,0.38580246913580246,0.9598765432098766,0.654320987654321,0.9346733668341709
01_screening,G2_mg_molar_grade,PLS-DA,p3,648,0.4398148148148148,0.9614197530864198,0.5987654320987654,0.931129476584022
01_screening,G2_mg_molar_grade,PLS-DA,p4,648,0.39351851851851855,0.9151234567901234,0.691358024691358,0.8600508905852418
01_screening,G2_mg_molar_grade,PLS-DA,raw,648,0.375,0.9475308641975309,0.6774691358024691,0.9160493827160494
01_screening,G2_mg_molar_grade,RF,p1,648,0.48302469135802467,0.9614197530864198,0.5555555555555556,0.9253731343283582
01_screening,G2_mg_molar_grade,RF,p2,648,0.41512345679012347,0.9367283950617284,0.6481481481481481,0.8918205804749341
01_screening,G2_mg_molar_grade,RF,p3,648,0.39969135802469136,0.9645061728395061,0.6358024691358025,0.9408740359897172
01_screening,G2_mg_molar_grade,RF,p4,648,0.5787037037037037,0.9583333333333334,0.46296296296296297,0.9010989010989011
01_screening,G2_mg_molar_grade,RF,raw,648,0.49382716049382713,0.941358024691358,0.5648148148148148,0.8841463414634146
01_screening,G2_mg_molar_grade,SVM,p1,648,0.41975308641975306,0.9598765432098766,0.6203703703703703,0.9308510638297872
01_screening,G2_mg_molar_grade,SVM,p2,648,0.42901234567901236,0.9429012345679012,0.6280864197530864,0.9
01_screening,G2_mg_molar_grade,SVM,p3,648,0.4645061728395062,0.9614197530864198,0.5740740740740741,0.9279538904899135
01_screening,G2_mg_molar_grade,SVM,p4,648,0.4783950617283951,0.9351851851851852,0.5864197530864198,0.8757396449704142
01_screening,G2_mg_molar_grade,SVM,raw,648,0.4506172839506173,0.9305555555555556,0.6188271604938271,0.8735955056179775
01_screening,G2_mg_molar_grade,Spectrum-KAN,p1,648,0.4660493827160494,0.8919753086419753,0.6419753086419753,0.7976878612716763
