SelectionStage,Model,SelectionRole,SelectionAnchorType,SelectionAnchorTask,SelectionAnchorTaskName,SelectionAnchorPreprocess,SelectionAnchorF1,SelectionAnchorF1Std,MeanF1,MeanBA,MeanAcc,RecommendedVariantScope,SelectionReason
01_candidate_screening,RF,Global baseline,full_matrix_mean_f1,P2_mg_presence,MG Presence,p4,0.7969558183369632,0.0872944035601086,0.6926952638360392,0.7072372458584532,0.7327417691509189,p2/p4,Highest grouped full-matrix mean F1 across the 8 candidate families; retained as the strongest global classical baseline for fair optimization.
01_candidate_screening,Spectrum-KAN,Hardest-slice specialist,hardest_slice_task_win,G2_mg_molar_grade,MG Positive Molar Grade,p4,0.5546015196818799,0.2250480214095854,0.6565856406856357,0.6874753480207889,0.7028777493013822,p1/p4,"Best current grouped result on G2 MG Positive Molar Grade, the hardest mainline slice; retained as the KAN-side representative model."
