Task,TaskName,Model,Preprocess,F1_mean,F1_std,BA_mean,BA_std,Acc_mean,Acc_std
G1_thiram_molar_grade,Thiram Positive Molar Grade,Spectrum-KAN,p4,0.534988416832413,0.24484484746910898,0.5806082170997906,0.26655482975199385,0.5335300255265054,0.23725711755627785
G2_mg_molar_grade,MG Positive Molar Grade,Spectrum-KAN,p4,0.371591981133981,0.23628922787468976,0.41297974962822603,0.23169189427708384,0.4122196665295391,0.2533597812761632
G3_mba_molar_grade,MBA Positive Molar Grade,Spectrum-KAN,p4,0.6412610445315506,0.16287497793417352,0.6619085402075725,0.14674400962106846,0.6435112817833961,0.166128640639979
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p4,0.5415380578846948,0.09234181790194328,0.5551899076155214,0.07692002167389665,0.6755756152011319,0.07271907013522151
P2_mg_presence,MG Presence,Spectrum-KAN,p4,0.5749896503553049,0.17380213210866283,0.5856466259793087,0.16406260465413494,0.7303665820099932,0.07645960760495005
P3_mba_presence,MBA Presence,Spectrum-KAN,p4,0.7703336157889478,0.17504289757412592,0.7690915943272348,0.16071759532972854,0.8648548226172675,0.09573297813730587
