Task,TaskName,Model,Preprocess,F1_mean,F1_std,BA_mean,BA_std,Acc_mean,Acc_std
G1_thiram_molar_grade,Thiram Positive Molar Grade,1D-CNN,p1,0.9181844719278807,0.02995752797784484,0.9122523232630482,0.03579545469941025,0.9184615384615384,0.031056352674132835
G1_thiram_molar_grade,Thiram Positive Molar Grade,HistGradientBoosting,p1,0.9749289437775817,0.015417438719698265,0.9765188483334528,0.013293670255667208,0.9753846153846155,0.01479644927820872
G1_thiram_molar_grade,Thiram Positive Molar Grade,KNN,p1,0.9822792675217087,0.014826000248152648,0.9816930185366864,0.014620120605857443,0.9830769230769232,0.014796449278208671
G1_thiram_molar_grade,Thiram Positive Molar Grade,PLS-DA,p1,0.91938845970354,0.023185424809578047,0.9160119653587175,0.02632268708749047,0.9169230769230768,0.023331924443235542
G1_thiram_molar_grade,Thiram Positive Molar Grade,RF,p1,0.9874223914288074,0.009068635589408437,0.9874113639537885,0.008741762915158,0.9876923076923078,0.008770580193070284
G1_thiram_molar_grade,Thiram Positive Molar Grade,SVM,p1,0.9968761784544702,0.004304269265689587,0.9966108966108965,0.004656186546963575,0.9969230769230769,0.004213250442347419
G1_thiram_molar_grade,Thiram Positive Molar Grade,Spectrum-KAN,p1,0.9920346379975712,0.013573340717412268,0.992519851387776,0.012323652963969743,0.9923076923076923,0.01332346775052983
G2_mg_molar_grade,MG Positive Molar Grade,1D-CNN,p1,0.6584874340312392,0.10513883139712896,0.6805008180648914,0.09982836001985491,0.6775918388966498,0.0978442545076004
G2_mg_molar_grade,MG Positive Molar Grade,HistGradientBoosting,p1,0.9331975079993018,0.020308154123187514,0.932789710840054,0.02194192653925059,0.9337230290470128,0.01961744794263259
G2_mg_molar_grade,MG Positive Molar Grade,KNN,p1,0.9272106432982365,0.016292383347469203,0.9267872007219833,0.017768472515403647,0.927471146917268,0.01688120042583767
G2_mg_molar_grade,MG Positive Molar Grade,PLS-DA,p1,0.8159346027766313,0.02994269926076643,0.8190755125880983,0.028828052855824238,0.8164849206851692,0.029280302676061767
G2_mg_molar_grade,MG Positive Molar Grade,RF,p1,0.9520503327100274,0.014940764918472137,0.9520481668090364,0.014886740851381851,0.9522395337467235,0.014567470782633719
