Task,TaskName,Model,Preprocess,F1_mean,F1_std,BA_mean,BA_std,Acc_mean,Acc_std
G1_thiram_molar_grade,Thiram Positive Molar Grade,RF,p4,0.7844855646681661,0.12358385580741768,0.8329198146770954,0.09356739086702778,0.7803921094102522,0.13099570176234523
G2_mg_molar_grade,MG Positive Molar Grade,RF,p4,0.47742218546007065,0.09875771561374387,0.5087781624378513,0.13090322680713348,0.562387931705657,0.15540800825694148
G3_mba_molar_grade,MBA Positive Molar Grade,RF,p4,0.7819994521908473,0.07430183471229282,0.7942141246367513,0.06727788522425673,0.7736108882682223,0.08799623718798928
P1_thiram_presence,Thiram Presence,RF,p4,0.8128080903795883,0.1411110132293137,0.7958031087592671,0.12673431383616118,0.8581319710474302,0.10717847532759169
P2_mg_presence,MG Presence,RF,p4,0.7944587849984136,0.0770047868997407,0.7768785827193441,0.07292818433634438,0.8514799969513491,0.058166811895712184
P3_mba_presence,MBA Presence,RF,p4,0.8832255893497969,0.0673059924333254,0.880276065698478,0.06630964167520259,0.9122887316790186,0.060256206990606076
