Task,TaskName,Model,Preprocess,F1_mean,F1_std,BA_mean,BA_std,Acc_mean,Acc_std
G1_thiram_molar_grade,Thiram Positive Molar Grade,RF,p2,0.8047981663678956,0.12132301868153259,0.8388860149647213,0.11729365102295408,0.8216780228414517,0.10242379163570926
G2_mg_molar_grade,MG Positive Molar Grade,RF,p2,0.4321435973895221,0.12830883125429413,0.4329166413996818,0.16381414767723007,0.478967104792555,0.11836801146107202
G3_mba_molar_grade,MBA Positive Molar Grade,RF,p2,0.6545165369266771,0.17274198495095416,0.6753436670402253,0.16329032185745218,0.6632157588975784,0.17444987098931655
P1_thiram_presence,Thiram Presence,RF,p2,0.8082687630606002,0.11539190402105877,0.7928427248906573,0.09864469474722819,0.8525803371244299,0.10042202270492508
P2_mg_presence,MG Presence,RF,p2,0.649045617314019,0.07445674031681483,0.6438939928849234,0.0689938664743097,0.7412522333648314,0.044026404155169466
P3_mba_presence,MBA Presence,RF,p2,0.8510102052813456,0.058510770694733524,0.8382962070878504,0.04827432288510945,0.8989324100037195,0.04610753743507613
