Task,TaskName,Model,Preprocess,F1_mean,F1_std,BA_mean,BA_std,Acc_mean,Acc_std
G1_thiram_molar_grade,Thiram Positive Molar Grade,Spectrum-KAN,p1,0.581850728642294,0.285280585310277,0.6408128040913589,0.3138299764440886,0.5922715548963169,0.2756476668022231
G2_mg_molar_grade,MG Positive Molar Grade,Spectrum-KAN,p1,0.3496180018703755,0.10185618286866571,0.4516307833627112,0.0985910839498625,0.4038711274329814,0.14438206498484482
G3_mba_molar_grade,MBA Positive Molar Grade,Spectrum-KAN,p1,0.5821391928718489,0.1862550811378375,0.6083071246368477,0.18345680230149944,0.6070750384643551,0.2016626758976896
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p1,0.6775339978668741,0.21017519174534524,0.692616192295988,0.17625775483830733,0.7971003200183093,0.1154195559172308
P2_mg_presence,MG Presence,Spectrum-KAN,p1,0.5908949549087492,0.11344974117938271,0.5860255206796828,0.11203226018086762,0.6921627010542926,0.09406033670082041
P3_mba_presence,MBA Presence,Spectrum-KAN,p1,0.8409446049514571,0.07330619144682732,0.8276555793631003,0.08011082145562848,0.8890595516995464,0.06243075387183492
