Task,TaskName,Model,Preprocess,F1_mean,F1_std,BA_mean,BA_std,Acc_mean,Acc_std
G1_thiram_molar_grade,Thiram Positive Molar Grade,RF,p4,0.7882861214758838,0.12056018766975869,0.8332591142045809,0.09274621772331695,0.7851189119711498,0.12604160181309498
G2_mg_molar_grade,MG Positive Molar Grade,RF,p4,0.5012139419445862,0.09731239129735098,0.5300785765062838,0.12760891900600319,0.5920532552832857,0.1672236249953653
G3_mba_molar_grade,MBA Positive Molar Grade,RF,p4,0.7984520715802629,0.07500990335847695,0.8107472723839418,0.06675477780973318,0.7891802947544638,0.08588260306081627
P1_thiram_presence,Thiram Presence,RF,p4,0.8498609220926809,0.10430870685756707,0.8483434756793393,0.10002152932662621,0.8781936176775836,0.09541392187981758
P2_mg_presence,MG Presence,RF,p4,0.8122545688714,0.08798081002702271,0.8079263169102029,0.08312861210621116,0.8545904253172101,0.07440745287404205
P3_mba_presence,MBA Presence,RF,p4,0.8724335890662246,0.07585607511169108,0.8786836883268692,0.08334585162688,0.9034112387269767,0.06731740213188754
