fold_id,n_train,n_test,macro_f1,run_id,task,task_name,retention_pct,n_features
3,721,180,0.9699197860962567,shap_feature_selection_extratrees_p1_20260529_183134,P3_mba_presence,MBA Presence,8,113
4,721,180,0.9779402753380448,shap_feature_selection_extratrees_p1_20260529_183134,P3_mba_presence,MBA Presence,8,113
0,720,181,0.9773040752351098,shap_feature_selection_extratrees_p1_20260529_183134,P3_mba_presence,MBA Presence,9,127
1,721,180,0.968944099378882,shap_feature_selection_extratrees_p1_20260529_183134,P3_mba_presence,MBA Presence,9,127
2,721,180,0.9924213717317165,shap_feature_selection_extratrees_p1_20260529_183134,P3_mba_presence,MBA Presence,9,127
3,721,180,0.9772641151951498,shap_feature_selection_extratrees_p1_20260529_183134,P3_mba_presence,MBA Presence,9,127
4,721,180,0.9851851851851852,shap_feature_selection_extratrees_p1_20260529_183134,P3_mba_presence,MBA Presence,9,127
0,519,131,0.9687332112332112,shap_feature_selection_extratrees_p1_20260529_183134,G1_thiram_molar_grade,Thiram Positive Molar Grade,6,85
1,519,131,0.9603644460787318,shap_feature_selection_extratrees_p1_20260529_183134,G1_thiram_molar_grade,Thiram Positive Molar Grade,6,85
2,520,130,0.9837446141793968,shap_feature_selection_extratrees_p1_20260529_183134,G1_thiram_molar_grade,Thiram Positive Molar Grade,6,85
3,522,128,0.9347960528084752,shap_feature_selection_extratrees_p1_20260529_183134,G1_thiram_molar_grade,Thiram Positive Molar Grade,6,85
4,520,130,0.94249457317381,shap_feature_selection_extratrees_p1_20260529_183134,G1_thiram_molar_grade,Thiram Positive Molar Grade,6,85
0,519,131,0.9768762183235867,shap_feature_selection_extratrees_p1_20260529_183134,G1_thiram_molar_grade,Thiram Positive Molar Grade,7,99
1,519,131,0.9689898989898991,shap_feature_selection_extratrees_p1_20260529_183134,G1_thiram_molar_grade,Thiram Positive Molar Grade,7,99
2,520,130,0.9837446141793968,shap_feature_selection_extratrees_p1_20260529_183134,G1_thiram_molar_grade,Thiram Positive Molar Grade,7,99
3,522,128,0.9417621509407342,shap_feature_selection_extratrees_p1_20260529_183134,G1_thiram_molar_grade,Thiram Positive Molar Grade,7,99
4,520,130,0.950366604906013,shap_feature_selection_extratrees_p1_20260529_183134,G1_thiram_molar_grade,Thiram Positive Molar Grade,7,99
0,519,131,0.9840463257065402,shap_feature_selection_extratrees_p1_20260529_183134,G1_thiram_molar_grade,Thiram Positive Molar Grade,8,113
1,519,131,0.9686279905220515,shap_feature_selection_extratrees_p1_20260529_183134,G1_thiram_molar_grade,Thiram Positive Molar Grade,8,113
2,520,130,0.991892551892552,shap_feature_selection_extratrees_p1_20260529_183134,G1_thiram_molar_grade,Thiram Positive Molar Grade,8,113
3,522,128,0.9506958707136661,shap_feature_selection_extratrees_p1_20260529_183134,G1_thiram_molar_grade,Thiram Positive Molar Grade,8,113
4,520,130,0.94249457317381,shap_feature_selection_extratrees_p1_20260529_183134,G1_thiram_molar_grade,Thiram Positive Molar Grade,8,113
0,519,131,0.9840463257065402,shap_feature_selection_extratrees_p1_20260529_183134,G1_thiram_molar_grade,Thiram Positive Molar Grade,9,127
1,519,131,0.9689898989898991,shap_feature_selection_extratrees_p1_20260529_183134,G1_thiram_molar_grade,Thiram Positive Molar Grade,9,127
2,520,130,0.991892551892552,shap_feature_selection_extratrees_p1_20260529_183134,G1_thiram_molar_grade,Thiram Positive Molar Grade,9,127
3,522,128,0.9506958707136661,shap_feature_selection_extratrees_p1_20260529_183134,G1_thiram_molar_grade,Thiram Positive Molar Grade,9,127
4,520,130,0.9589701664341345,shap_feature_selection_extratrees_p1_20260529_183134,G1_thiram_molar_grade,Thiram Positive Molar Grade,9,127
0,518,130,0.9532880697158109,shap_feature_selection_extratrees_p1_20260529_183134,G2_mg_molar_grade,MG Positive Molar Grade,6,85
1,518,130,0.9538082933431772,shap_feature_selection_extratrees_p1_20260529_183134,G2_mg_molar_grade,MG Positive Molar Grade,6,85
2,520,128,0.9454547018638415,shap_feature_selection_extratrees_p1_20260529_183134,G2_mg_molar_grade,MG Positive Molar Grade,6,85
3,518,130,0.9445395030501413,shap_feature_selection_extratrees_p1_20260529_183134,G2_mg_molar_grade,MG Positive Molar Grade,6,85
4,518,130,0.9453703703703704,shap_feature_selection_extratrees_p1_20260529_183134,G2_mg_molar_grade,MG Positive Molar Grade,6,85
0,518,130,0.9612350687401398,shap_feature_selection_extratrees_p1_20260529_183134,G2_mg_molar_grade,MG Positive Molar Grade,7,99
1,518,130,0.9461616891334531,shap_feature_selection_extratrees_p1_20260529_183134,G2_mg_molar_grade,MG Positive Molar Grade,7,99
2,520,128,0.9454547018638415,shap_feature_selection_extratrees_p1_20260529_183134,G2_mg_molar_grade,MG Positive Molar Grade,7,99
3,518,130,0.9445395030501413,shap_feature_selection_extratrees_p1_20260529_183134,G2_mg_molar_grade,MG Positive Molar Grade,7,99
4,518,130,0.937415701972664,shap_feature_selection_extratrees_p1_20260529_183134,G2_mg_molar_grade,MG Positive Molar Grade,7,99
0,518,130,0.9612350687401398,shap_feature_selection_extratrees_p1_20260529_183134,G2_mg_molar_grade,MG Positive Molar Grade,8,113
1,518,130,0.9538082933431772,shap_feature_selection_extratrees_p1_20260529_183134,G2_mg_molar_grade,MG Positive Molar Grade,8,113
2,520,128,0.953359173126615,shap_feature_selection_extratrees_p1_20260529_183134,G2_mg_molar_grade,MG Positive Molar Grade,8,113
3,518,130,0.9446755704468952,shap_feature_selection_extratrees_p1_20260529_183134,G2_mg_molar_grade,MG Positive Molar Grade,8,113
4,518,130,0.953456327738475,shap_feature_selection_extratrees_p1_20260529_183134,G2_mg_molar_grade,MG Positive Molar Grade,8,113
0,518,130,0.9689922480620154,shap_feature_selection_extratrees_p1_20260529_183134,G2_mg_molar_grade,MG Positive Molar Grade,9,127
1,518,130,0.9538082933431772,shap_feature_selection_extratrees_p1_20260529_183134,G2_mg_molar_grade,MG Positive Molar Grade,9,127
2,520,128,0.9610967463908641,shap_feature_selection_extratrees_p1_20260529_183134,G2_mg_molar_grade,MG Positive Molar Grade,9,127
