Task,TaskName,Model,Preprocess,F1_mean,F1_std,BA_mean,BA_std,Acc_mean,Acc_std,FitSeconds_total,FitSeconds_mean,PredictSeconds_total
G1_thiram_molar_grade,Thiram Positive Molar Grade,1D-CNN,p1,0.9028242682917936,0.018620408616724,0.8974783600359334,0.0199084950317505,0.9029987522019964,0.0155666745603254,344.4108817130327,68.88217634260654,0.0387359410524368
G1_thiram_molar_grade,Thiram Positive Molar Grade,1D-ResNet,p1,0.9427736830438064,0.0119928182576954,0.9435495004785136,0.0139584365379107,0.9430367366412212,0.0119451961539068,237.79939690977332,47.55987938195467,0.1530430987477302
G1_thiram_molar_grade,Thiram Positive Molar Grade,KAN-CNN,p1,0.904252811401684,0.0475681982652193,0.8999401748367131,0.0488350600665221,0.9044790443335292,0.0477948681188584,364.9015509188175,72.9803101837635,0.1739796921610832
G1_thiram_molar_grade,Thiram Positive Molar Grade,Spectrum-KAN,p1,0.9937371667337128,0.0085769872241512,0.9939594592401448,0.0082889180692315,0.993798076923077,0.0084927581837732,394.6315381526947,78.92630763053894,0.1751465797424316
G2_mg_molar_grade,MG Positive Molar Grade,1D-CNN,p1,0.7099192814931226,0.0333271349647575,0.718653674390453,0.027531340659934,0.7176442307692307,0.0294584456224547,180.89902602136132,36.17980520427227,0.1023242324590683
G2_mg_molar_grade,MG Positive Molar Grade,1D-ResNet,p1,0.7509854887932189,0.0772673035044697,0.7597756533476018,0.071102789484446,0.7560576923076923,0.0740225382477462,154.27343624830246,30.854687249660493,0.2226558774709701
G2_mg_molar_grade,MG Positive Molar Grade,KAN-CNN,p1,0.6784322857095322,0.0457292327757962,0.6814468947877044,0.0488000810277741,0.6805288461538461,0.0462070256527571,211.826237462461,42.3652474924922,0.0537720248103141
G2_mg_molar_grade,MG Positive Molar Grade,Spectrum-KAN,p1,0.4804138306560592,0.0368780306227011,0.5039665699703673,0.0385654432019647,0.5044951923076922,0.0365040086176206,115.88246749341488,23.176493498682976,0.1178589686751365
G3_mba_molar_grade,MBA Positive Molar Grade,1D-CNN,p1,0.7453593641001264,0.0483353295542853,0.7445978693488536,0.0481099232061477,0.7444931062449311,0.049374368904531,198.48322678357363,39.696645356714725,0.1193437725305557
G3_mba_molar_grade,MBA Positive Molar Grade,1D-ResNet,p1,0.778734004221162,0.0753369122590669,0.7762249360777855,0.0779892693709536,0.7765233846985672,0.0788590853201255,162.0185346379876,32.403706927597526,0.0551538839936256
G3_mba_molar_grade,MBA Positive Molar Grade,KAN-CNN,p1,0.7103749655466381,0.0330389958973481,0.715923403733786,0.0322394383383023,0.7164530954311976,0.0337500977703502,217.27974574267864,43.45594914853573,0.0394555181264877
G3_mba_molar_grade,MBA Positive Molar Grade,Spectrum-KAN,p1,0.8909953324796438,0.0415937412092995,0.891186279245785,0.0419127809791588,0.8911273317112733,0.0418580122263977,181.3986841067672,36.27973682135344,0.0990350395441055
P1_thiram_presence,Thiram Presence,1D-CNN,p1,0.938880726411868,0.0238183973341608,0.9455154207161433,0.0238073791615804,0.9500798035604664,0.0195294849148688,281.5340436398983,56.30680872797966,0.2394716441631317
P1_thiram_presence,Thiram Presence,1D-ResNet,p1,0.9101341896754278,0.055660227599508,0.9175846364309084,0.0335226750117663,0.9245058317986494,0.0528216361615538,240.5830681100488,48.11661362200975,0.2101068347692489
P1_thiram_presence,Thiram Presence,KAN-CNN,p1,0.9014283506062803,0.0166989617390685,0.9029740962077726,0.0157417171824116,0.9201043585021486,0.0172845331964981,326.60334334522486,65.32066866904498,0.0913373380899429
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p1,0.9478460736455276,0.0387643561345521,0.9436007177459944,0.0294929151000752,0.9578882750153468,0.033000584960106,208.9699143245816,41.79398286491632,0.1152288094162941
P2_mg_presence,MG Presence,1D-CNN,p1,0.9138307141145672,0.0237734058533908,0.8982775263951736,0.0284715428499238,0.9334069981583794,0.018002811075116,295.2477549165488,59.04955098330974,0.3231698349118233
P2_mg_presence,MG Presence,1D-ResNet,p1,0.9250560927106706,0.0113661466469005,0.9142928450226244,0.0173679181958143,0.9411909146715776,0.0082679730696274,256.01685167104006,51.20337033420801,0.1311259269714355
P2_mg_presence,MG Presence,KAN-CNN,p1,0.9178413901947738,0.0105041705085471,0.9127255373303168,0.0181787942545691,0.9345242480049112,0.0090573239443855,446.0293467640877,89.20586935281753,0.1141188964247703
P2_mg_presence,MG Presence,Spectrum-KAN,p1,0.9285319533710532,0.0199991410105733,0.9273138668929112,0.0159241937122243,0.9423081645181092,0.0168159701662972,285.0754137560725,57.01508275121451,0.0397313758730888
P3_mba_presence,MBA Presence,1D-CNN,p1,0.9333402964571532,0.0192237530167852,0.9149527213514652,0.0300881169659683,0.9534008594229588,0.0120719718723447,296.39336328953505,59.27867265790701,0.1875254660844802
P3_mba_presence,MBA Presence,1D-ResNet,p1,0.9253798823816048,0.0237158761845215,0.9009884192459306,0.0355523673975258,0.948962553713935,0.0142811943755696,249.26863150298595,49.85372630059719,0.1723583787679672
P3_mba_presence,MBA Presence,KAN-CNN,p1,0.9036889118250664,0.034361970753216,0.8738841364473686,0.04393824731091,0.9356537753222836,0.0201131733870005,411.69865514338017,82.33973102867603,0.1782185509800911
P3_mba_presence,MBA Presence,Spectrum-KAN,p1,0.9803226995739532,0.0120273392959349,0.9811112997227408,0.0184475659294098,0.9855678330263966,0.0084315313116567,219.25074534863236,43.85014906972647,0.2237957045435905
G1_thiram_molar_grade,Thiram Positive Molar Grade,RamanNet-Lite,p1,0.9984173532560628,0.0035389057038119893,0.9985815602836879,0.003171727627659281,0.9984615384615385,0.0034401045807689076,131.47807448357344,26.29561489671469,0.10023059695959091
G2_mg_molar_grade,MG Positive Molar Grade,RamanNet-Lite,p1,0.7665719988511955,0.020600057118107064,0.7653662090596601,0.021360718855239803,0.7654086538461538,0.02034064390730066,70.92515484243631,14.185030968487263,0.09354129433631897
G3_mba_molar_grade,MBA Positive Molar Grade,RamanNet-Lite,p1,0.9101582240964639,0.024727771940577105,0.9107532582600888,0.024207571984555542,0.9103000811030008,0.02404548586192919,87.68596474081278,17.537192948162556,0.10309628397226334
P1_thiram_presence,Thiram Presence,RamanNet-Lite,p1,0.96083082447715,0.01788328893371161,0.9573218101759201,0.021192523316396247,0.968925721301412,0.013937237999815045,105.05174340307713,21.010348680615426,0.029656916856765747
P2_mg_presence,MG Presence,RamanNet-Lite,p1,0.946523791999379,0.018688572243433312,0.9469909973604826,0.016260682491919132,0.9567341927562921,0.01531913706161812,176.11159740388393,35.22231948077679,0.25086477398872375
P3_mba_presence,MBA Presence,RamanNet-Lite,p1,0.952754231642559,0.016608831080821312,0.9741761758363354,0.010533684807420111,0.9633824432166973,0.01334426806473427,112.71043486893177,22.542086973786354,0.26288364082574844
