Task,TaskName,Model,Preprocess,Fold,MacroF1,BalancedAcc,Accuracy,FitSeconds,PredictSeconds
P3_mba_presence,MBA Presence,1D-CNN,raw,3,0.8498510427010924,0.8629629629629629,0.8833333333333333,77.50234755128622,0.0058774054050445
P3_mba_presence,MBA Presence,1D-CNN,raw,4,0.8199672667757774,0.7925925925925925,0.8777777777777778,107.20154026150703,0.0753099918365478
P3_mba_presence,MBA Presence,1D-ResNet,raw,0,0.8498672859986729,0.8498672859986729,0.8895027624309392,88.70267098397017,0.0208581537008285
P3_mba_presence,MBA Presence,1D-ResNet,raw,1,0.9270237398080994,0.9033271091495502,0.95,93.88950354605912,0.0081006363034248
P3_mba_presence,MBA Presence,1D-ResNet,raw,2,0.9368310229864888,0.9229332880665422,0.9555555555555556,83.76238241046667,0.0104935765266418
P3_mba_presence,MBA Presence,1D-ResNet,raw,3,0.9534161490683232,0.9333333333333332,0.9666666666666668,141.1075729355216,0.0048215016722679
P3_mba_presence,MBA Presence,1D-ResNet,raw,4,0.9849598930481284,0.977777777777778,0.9888888888888888,112.39928567409515,0.0049989596009254
P3_mba_presence,MBA Presence,Spectrum-KAN,raw,0,0.8542673107890499,0.8652952886529529,0.8895027624309392,165.49079913645983,0.009623572230339
P3_mba_presence,MBA Presence,Spectrum-KAN,raw,1,0.7336642642355973,0.7113393311831607,0.8277777777777777,40.10492344200611,0.0808950588107109
P3_mba_presence,MBA Presence,Spectrum-KAN,raw,2,0.6691041300706728,0.6762009845527075,0.75,31.32160682976246,0.0765778943896293
P3_mba_presence,MBA Presence,Spectrum-KAN,raw,3,0.8049261083743842,0.762962962962963,0.8777777777777778,75.21827522665262,0.0748263821005821
P3_mba_presence,MBA Presence,Spectrum-KAN,raw,4,0.7826086956521738,0.7703703703703704,0.8444444444444444,54.4176033064723,0.0054791122674942
P3_mba_presence,MBA Presence,KAN-CNN,raw,0,0.8330038223276657,0.8153616456536164,0.8839779005524862,175.31541922688484,0.0102008059620857
P3_mba_presence,MBA Presence,KAN-CNN,raw,1,0.6311475409836065,0.6766253607197419,0.6777777777777778,57.61896877735853,0.0050850063562393
P3_mba_presence,MBA Presence,KAN-CNN,raw,2,0.7371836469824788,0.7489390595824139,0.8,105.5797295346856,0.0055836737155914
P3_mba_presence,MBA Presence,KAN-CNN,raw,3,0.52,0.5222222222222223,0.6833333333333333,29.101152263581756,0.0091163218021392
P3_mba_presence,MBA Presence,KAN-CNN,raw,4,0.6148908857509627,0.6444444444444444,0.6666666666666666,29.620112851262093,0.0077897757291793
G1_thiram_molar_grade,Thiram Positive Molar Grade,1D-CNN,raw,0,0.9695019157088122,0.9667832167832168,0.9694656488549618,121.27464804798365,0.0036608949303627
G1_thiram_molar_grade,Thiram Positive Molar Grade,1D-CNN,raw,1,0.9333302321254128,0.927933177933178,0.931297709923664,161.10556112229824,0.0757944285869598
G1_thiram_molar_grade,Thiram Positive Molar Grade,1D-CNN,raw,2,0.953346822205014,0.9528265107212476,0.953846153846154,89.81592115014791,0.0785810574889183
G1_thiram_molar_grade,Thiram Positive Molar Grade,1D-CNN,raw,3,0.9385026737967914,0.9329192546583852,0.9375,142.0072274282575,0.0813993960618972
G1_thiram_molar_grade,Thiram Positive Molar Grade,1D-CNN,raw,4,0.9234881654927344,0.919103313840156,0.9230769230769232,157.51676712930202,0.0086603462696075
G1_thiram_molar_grade,Thiram Positive Molar Grade,1D-ResNet,raw,0,0.9850368569580392,0.9838772338772338,0.9847328244274808,92.9973083883524,0.0757528021931648
G1_thiram_molar_grade,Thiram Positive Molar Grade,1D-ResNet,raw,1,0.9552941176470588,0.9516317016317016,0.9541984732824428,150.29439047724009,0.0111096426844596
G1_thiram_molar_grade,Thiram Positive Molar Grade,1D-ResNet,raw,2,0.9920467836257312,0.9912280701754388,0.9923076923076924,199.8983625993133,0.0744171664118766
G1_thiram_molar_grade,Thiram Positive Molar Grade,1D-ResNet,raw,3,0.9678061810257972,0.9641821946169772,0.96875,95.50204385817052,0.0145823135972023
G1_thiram_molar_grade,Thiram Positive Molar Grade,1D-ResNet,raw,4,0.9094856124267888,0.9035543942598814,0.9076923076923076,103.6678456813097,0.011082611978054
G1_thiram_molar_grade,Thiram Positive Molar Grade,Spectrum-KAN,raw,0,0.969690720607338,0.969988344988345,0.9694656488549618,160.4045041948557,0.0882396847009658
G1_thiram_molar_grade,Thiram Positive Molar Grade,Spectrum-KAN,raw,1,0.954674094208978,0.9532342657342656,0.9541984732824428,161.197371609509,0.0113626718521118
G1_thiram_molar_grade,Thiram Positive Molar Grade,Spectrum-KAN,raw,2,0.961541822721598,0.960549126954502,0.9615384615384616,122.11160196363926,0.0107037276029586
