task,task_name,rank,feature_index,wavenumber,mean_abs_shap,matched_literature_peak
P2_mg_presence,MG Presence,4,769,1169.0,0.0049209726992252,MG_1172(-3.0)
P2_mg_presence,MG Presence,5,1210,1610.0,0.0048043010285691,MG_1616(-6.0)
P2_mg_presence,MG Presence,6,816,1216.0,0.0047375398947246,MG_1220(-4.0)
P2_mg_presence,MG Presence,7,1207,1607.0,0.0047367861423936,MG_1616(-9.0)
P2_mg_presence,MG Presence,8,1206,1606.0,0.004704566852788,MG_1616(-10.0)
P2_mg_presence,MG Presence,9,1211,1611.0,0.0046965015977785,MG_1616(-5.0)
P2_mg_presence,MG Presence,10,814,1214.0,0.004356030375241,MG_1220(-6.0)
P2_mg_presence,MG Presence,11,1213,1613.0,0.004318940229694,MG_1616(-3.0)
P2_mg_presence,MG Presence,12,813,1213.0,0.0042480458423111,MG_1220(-7.0)
P2_mg_presence,MG Presence,13,771,1171.0,0.0042412822686473,MG_1172(-1.0)
P2_mg_presence,MG Presence,14,772,1172.0,0.0040146997704091,MG_1172(+0.0)
P2_mg_presence,MG Presence,15,1214,1614.0,0.004006685627086,MG_1616(-2.0)
P2_mg_presence,MG Presence,16,773,1173.0,0.0039683133312553,MG_1172(+1.0)
P2_mg_presence,MG Presence,17,765,1165.0,0.0035867243856998,MG_1172(-7.0)
P2_mg_presence,MG Presence,18,1212,1612.0,0.0032469395889714,MG_1616(-4.0)
P2_mg_presence,MG Presence,19,810,1210.0,0.0031178983086079,MG_1220(-10.0)
P2_mg_presence,MG Presence,20,994,1394.0,0.0031153188389786,Thiram_1380(+14.0); MG_1394(+0.0)
P3_mba_presence,MBA Presence,1,672,1072.0,0.0087413580140631,MBA_1078(-6.0)
P3_mba_presence,MBA Presence,2,1176,1576.0,0.0080482137393489,MBA_1590(-14.0)
P3_mba_presence,MBA Presence,3,1179,1579.0,0.0080308023623594,MBA_1590(-11.0)
P3_mba_presence,MBA Presence,4,1174,1574.0,0.0078285295982321,
P3_mba_presence,MBA Presence,5,1172,1572.0,0.0069740608069591,
P3_mba_presence,MBA Presence,6,1177,1577.0,0.0068873549999014,MBA_1590(-13.0)
P3_mba_presence,MBA Presence,7,1178,1578.0,0.0063863004668238,MBA_1590(-12.0)
P3_mba_presence,MBA Presence,8,661,1061.0,0.0060902410893533,
P3_mba_presence,MBA Presence,9,1180,1580.0,0.006037144558822,MBA_1590(-10.0)
P3_mba_presence,MBA Presence,10,1173,1573.0,0.0059305394218454,
P3_mba_presence,MBA Presence,11,1167,1567.0,0.00587202194918,
P3_mba_presence,MBA Presence,12,1169,1569.0,0.0056687390314836,
P3_mba_presence,MBA Presence,13,668,1068.0,0.0056227498834354,MBA_1078(-10.0)
P3_mba_presence,MBA Presence,14,1171,1571.0,0.005610371449263,
P3_mba_presence,MBA Presence,15,670,1070.0,0.005553387120641,MBA_1078(-8.0)
P3_mba_presence,MBA Presence,16,1181,1581.0,0.005540820687807,MBA_1590(-9.0)
P3_mba_presence,MBA Presence,17,664,1064.0,0.0055161315831544,MBA_1078(-14.0)
P3_mba_presence,MBA Presence,18,1182,1582.0,0.0053822094782946,MBA_1590(-8.0)
P3_mba_presence,MBA Presence,19,674,1074.0,0.0052994951014282,MBA_1078(-4.0)
P3_mba_presence,MBA Presence,20,669,1069.0,0.0052613360534643,MBA_1078(-9.0)
