Task,TaskName,Model,Preprocess,Fold,MacroF1,BalancedAcc,Accuracy
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p4,0,0.5824320312168638,0.5964979063570612,0.6927374301675978
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p4,1,0.47592000381843347,0.4925221997195825,0.6611111111111111
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p4,2,0.4738015607580825,0.52046783625731,0.6384180790960452
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p4,3,0.793719806763285,0.7661931818181817,0.8469945355191257
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p4,4,0.5518367757173728,0.5550039401103231,0.7307692307692307
P2_mg_presence,MG Presence,Spectrum-KAN,p4,0,0.4600301659125189,0.5131997455470738,0.7318435754189944
P2_mg_presence,MG Presence,Spectrum-KAN,p4,1,0.7486772486772486,0.738758929822104,0.7888888888888889
P2_mg_presence,MG Presence,Spectrum-KAN,p4,2,0.5179738562091504,0.5454545454545454,0.7740112994350282
P2_mg_presence,MG Presence,Spectrum-KAN,p4,3,0.4039676273193841,0.3977079796264856,0.639344262295082
P2_mg_presence,MG Presence,Spectrum-KAN,p4,4,0.843937575030012,0.8264814109884533,0.8626373626373627
P3_mba_presence,MBA Presence,Spectrum-KAN,p4,0,0.6934547429096529,0.6846153846153846,0.770949720670391
P3_mba_presence,MBA Presence,Spectrum-KAN,p4,1,0.8941633021049743,0.9460431654676259,0.9166666666666666
P3_mba_presence,MBA Presence,Spectrum-KAN,p4,2,0.8223486115757779,0.7901486097794823,0.9152542372881356
P3_mba_presence,MBA Presence,Spectrum-KAN,p4,3,0.8697508896797153,0.8333333333333333,0.907103825136612
P3_mba_presence,MBA Presence,Spectrum-KAN,p4,4,0.8647922738442196,0.8142857142857143,0.9285714285714286
G1_thiram_molar_grade,Thiram Positive Molar Grade,Spectrum-KAN,p4,0,0.7265610438024231,0.7605218855218855,0.7253521126760564
G1_thiram_molar_grade,Thiram Positive Molar Grade,Spectrum-KAN,p4,1,0.6808187253014489,0.8369565217391305,0.6564885496183206
G1_thiram_molar_grade,Thiram Positive Molar Grade,Spectrum-KAN,p4,2,0.32828610806138897,0.4794050562551511,0.3157894736842105
G1_thiram_molar_grade,Thiram Positive Molar Grade,Spectrum-KAN,p4,3,0.8019954364088746,0.8014652014652014,0.8046875
G1_thiram_molar_grade,Thiram Positive Molar Grade,Spectrum-KAN,p4,4,0.6657616262879421,0.6740971259118944,0.6444444444444445
G2_mg_molar_grade,MG Positive Molar Grade,Spectrum-KAN,p4,0,0.1920459059013276,0.23824915824915827,0.19083969465648856
G2_mg_molar_grade,MG Positive Molar Grade,Spectrum-KAN,p4,1,0.3452525252525253,0.47445721583652617,0.35537190082644626
G2_mg_molar_grade,MG Positive Molar Grade,Spectrum-KAN,p4,2,0.4034375604026346,0.3912630268073671,0.5714285714285714
G2_mg_molar_grade,MG Positive Molar Grade,Spectrum-KAN,p4,3,0.17491579461599774,0.21487411056376574,0.28289473684210525
G2_mg_molar_grade,MG Positive Molar Grade,Spectrum-KAN,p4,4,0.4423073324976145,0.5559732664995822,0.3963963963963964
G3_mba_molar_grade,MBA Positive Molar Grade,Spectrum-KAN,p4,0,0.7435575635876841,0.7570556826849733,0.7280701754385965
G3_mba_molar_grade,MBA Positive Molar Grade,Spectrum-KAN,p4,1,0.5541125541125541,0.5757220921155347,0.5683453237410072
G3_mba_molar_grade,MBA Positive Molar Grade,Spectrum-KAN,p4,2,0.5502363503695948,0.5514273647684599,0.5369127516778524
G3_mba_molar_grade,MBA Positive Molar Grade,Spectrum-KAN,p4,3,0.744830939898184,0.7477261731978713,0.75
G3_mba_molar_grade,MBA Positive Molar Grade,Spectrum-KAN,p4,4,0.49158373127445293,0.5516837599935395,0.4897959183673469
