trial_id,trial_order,phase,model_family,preprocess,task_scope,params_json,mean_f1_all,mean_f1_g2,fold_stats,status,notes,duration_sec,relative_dir
skan_coarse_04,12,coarse,Spectrum-KAN,p4,P1-P3+G1-G3,"{""aug_enabled"": false, ""batch_size"": 64, ""focal_gamma"": 1.5, ""label_smoothing"": 0.02, ""lr"": 0.0002, ""mixup_enabled"": false, ""optimizer"": ""adamw"", ""patience"": 30, ""scheduler"": ""step"", ""step_gamma"": 0.7, ""step_size"": 40, ""use_class_weight"": false, ""weight_decay"": 0.0001}",0.5947503223103779,0.3115918237340199,"{""G1_thiram_molar_grade"": {""f1_mean"": 0.6406845879724156, ""f1_std"": 0.182502309964667, ""task_name"": ""Thiram Positive Molar Grade""}, ""G2_mg_molar_grade"": {""f1_mean"": 0.3115918237340199, ""f1_std"": 0.1220929869076998, ""task_name"": ""MG Positive Molar Grade""}, ""G3_mba_molar_grade"": {""f1_mean"": 0.616864227848494, ""f1_std"": 0.1188475180108684, ""task_name"": ""MBA Positive Molar Grade""}, ""P1_thiram_presence"": {""f1_mean"": 0.5755420356548075, ""f1_std"": 0.1308497465156394, ""task_name"": ""Thiram Presence""}, ""P2_mg_presence"": {""f1_mean"": 0.5949172946296628, ""f1_std"": 0.1912000452241165, ""task_name"": ""MG Presence""}, ""P3_mba_presence"": {""f1_mean"": 0.8289019640228681, ""f1_std"": 0.0800073238057713, ""task_name"": ""MBA Presence""}}",archived,Spectrum-KAN p4 lighter weight decay trial while preserving the anchor recipe.,565.73,trials/skan_coarse_04
skan_coarse_05,13,coarse,Spectrum-KAN,p4,P1-P3+G1-G3,"{""aug_enabled"": false, ""batch_size"": 32, ""focal_gamma"": 1.5, ""label_smoothing"": 0.02, ""lr"": 0.0002, ""mixup_enabled"": false, ""optimizer"": ""adamw"", ""patience"": 30, ""scheduler"": ""step"", ""step_gamma"": 0.7, ""step_size"": 40, ""use_class_weight"": false, ""weight_decay"": 0.0003}",0.5879697917866052,0.353377973334614,"{""G1_thiram_molar_grade"": {""f1_mean"": 0.5364305397467184, ""f1_std"": 0.2109316101383126, ""task_name"": ""Thiram Positive Molar Grade""}, ""G2_mg_molar_grade"": {""f1_mean"": 0.353377973334614, ""f1_std"": 0.0944289345826868, ""task_name"": ""MG Positive Molar Grade""}, ""G3_mba_molar_grade"": {""f1_mean"": 0.66948638221144, ""f1_std"": 0.1344414313711882, ""task_name"": ""MBA Positive Molar Grade""}, ""P1_thiram_presence"": {""f1_mean"": 0.6418320631158007, ""f1_std"": 0.2270096535486961, ""task_name"": ""Thiram Presence""}, ""P2_mg_presence"": {""f1_mean"": 0.5607629833210022, ""f1_std"": 0.1922662722713855, ""task_name"": ""MG Presence""}, ""P3_mba_presence"": {""f1_mean"": 0.7659288089900566, ""f1_std"": 0.1842776139212334, ""task_name"": ""MBA Presence""}}",archived,Spectrum-KAN p4 smaller-batch trial to test whether harder examples benefit from noisier updates.,947.44,trials/skan_coarse_05
skan_coarse_06,14,coarse,Spectrum-KAN,p4,P1-P3+G1-G3,"{""aug_enabled"": false, ""batch_size"": 96, ""focal_gamma"": 1.5, ""label_smoothing"": 0.02, ""lr"": 0.0002, ""mixup_enabled"": false, ""optimizer"": ""adamw"", ""patience"": 30, ""scheduler"": ""step"", ""step_gamma"": 0.7, ""step_size"": 40, ""use_class_weight"": false, ""weight_decay"": 0.0003}",0.6104924650212021,0.39113253909379,"{""G1_thiram_molar_grade"": {""f1_mean"": 0.624866206725748, ""f1_std"": 0.2477046300664329, ""task_name"": ""Thiram Positive Molar Grade""}, ""G2_mg_molar_grade"": {""f1_mean"": 0.39113253909379, ""f1_std"": 0.2283694005952629, ""task_name"": ""MG Positive Molar Grade""}, ""G3_mba_molar_grade"": {""f1_mean"": 0.6200552530015969, ""f1_std"": 0.1860896044013529, ""task_name"": ""MBA Positive Molar Grade""}, ""P1_thiram_presence"": {""f1_mean"": 0.6078999534750814, ""f1_std"": 0.1611468489307406, ""task_name"": ""Thiram Presence""}, ""P2_mg_presence"": {""f1_mean"": 0.5902348003172101, ""f1_std"": 0.1600403785190316, ""task_name"": ""MG Presence""}, ""P3_mba_presence"": {""f1_mean"": 0.828766037513787, ""f1_std"": 0.0563242645607459, ""task_name"": ""MBA Presence""}}",archived,Spectrum-KAN p4 larger-batch trial to test whether smoother optimization helps grouped stability.,437.72,trials/skan_coarse_06
skan_coarse_07,15,coarse,Spectrum-KAN,p4,P1-P3+G1-G3,"{""aug_enabled"": false, ""batch_size"": 64, ""focal_gamma"": 1.5, ""label_smoothing"": 0.0, ""lr"": 0.0002, ""mixup_enabled"": false, ""optimizer"": ""adamw"", ""patience"": 30, ""scheduler"": ""step"", ""step_gamma"": 0.7, ""step_size"": 40, ""use_class_weight"": false, ""weight_decay"": 0.0003}",0.6030652631233506,0.3351925125493137,"{""G1_thiram_molar_grade"": {""f1_mean"": 0.6159740832261391, ""f1_std"": 0.1144764258470474, ""task_name"": ""Thiram Positive Molar Grade""}, ""G2_mg_molar_grade"": {""f1_mean"": 0.3351925125493137, ""f1_std"": 0.1683212742088308, ""task_name"": ""MG Positive Molar Grade""}, ""G3_mba_molar_grade"": {""f1_mean"": 0.58311777269015, ""f1_std"": 0.1232955557691696, ""task_name"": ""MBA Positive Molar Grade""}, ""P1_thiram_presence"": {""f1_mean"": 0.6404355012648137, ""f1_std"": 0.1472638864852413, ""task_name"": ""Thiram Presence""}, ""P2_mg_presence"": {""f1_mean"": 0.6147958307513617, ""f1_std"": 0.2137130656886794, ""task_name"": ""MG Presence""}, ""P3_mba_presence"": {""f1_mean"": 0.8288758782583256, ""f1_std"": 0.0776483687978064, ""task_name"": ""MBA Presence""}}",archived,Spectrum-KAN p4 lower-smoothing trial to reduce under-confidence on the hardest slice.,588.11,trials/skan_coarse_07
skan_coarse_08,16,coarse,Spectrum-KAN,p1,P1-P3+G1-G3,"{""aug_enabled"": false, ""batch_size"": 64, ""focal_gamma"": 1.5, ""label_smoothing"": 0.02, ""lr"": 0.0002, ""mixup_enabled"": false, ""optimizer"": ""adamw"", ""patience"": 30, ""scheduler"": ""step"", ""step_gamma"": 0.7, ""step_size"": 40, ""use_class_weight"": false, ""weight_decay"": 0.0001}",0.6038302468519331,0.3496180018703755,"{""G1_thiram_molar_grade"": {""f1_mean"": 0.581850728642294, ""f1_std"": 0.285280585310277, ""task_name"": ""Thiram Positive Molar Grade""}, ""G2_mg_molar_grade"": {""f1_mean"": 0.3496180018703755, ""f1_std"": 0.1018561828686657, ""task_name"": ""MG Positive Molar Grade""}, ""G3_mba_molar_grade"": {""f1_mean"": 0.5821391928718489, ""f1_std"": 0.1862550811378375, ""task_name"": ""MBA Positive Molar Grade""}, ""P1_thiram_presence"": {""f1_mean"": 0.6775339978668741, ""f1_std"": 0.2101751917453452, ""task_name"": ""Thiram Presence""}, ""P2_mg_presence"": {""f1_mean"": 0.5908949549087492, ""f1_std"": 0.1134497411793827, ""task_name"": ""MG Presence""}, ""P3_mba_presence"": {""f1_mean"": 0.8409446049514571, ""f1_std"": 0.0733061914468273, ""task_name"": ""MBA Presence""}}",archived,Spectrum-KAN p1 lighter-regularization safety trial after removing cosine and class-weight detours.,426.92,trials/skan_coarse_08
skan_anchor_repro_01,101,anchor_repro,Spectrum-KAN,p4,P1-P3+G1-G3,"{""aug_enabled"": true, ""aug_n"": 4, ""batch_size"": 128, ""epochs"": 200, ""focal_gamma"": 2.0, ""label_smoothing"": 0.1, ""lr"": 0.0003, ""mixup_alpha"": 0.3, ""mixup_enabled"": true, ""optimizer"": ""adam"", ""patience"": 20, ""scheduler"": ""cosine"", ""use_class_weight"": true, ""val_frac"": 0.15, ""weight_decay"": 0.0001}",0.6762920961782264,0.5546015196818799,"{""G1_thiram_molar_grade"": {""f1_mean"": 0.6537184021436825, ""f1_std"": 0.0844184423859846, ""task_name"": ""Thiram Positive Molar Grade""}, ""G2_mg_molar_grade"": {""f1_mean"": 0.5546015196818799, ""f1_std"": 0.2250480214095854, ""task_name"": ""MG Positive Molar Grade""}, ""G3_mba_molar_grade"": {""f1_mean"": 0.6347328041544994, ""f1_std"": 0.1295315326940257, ""task_name"": ""MBA Positive Molar Grade""}, ""P1_thiram_presence"": {""f1_mean"": 0.7413251667390734, ""f1_std"": 0.1729743513086938, ""task_name"": ""Thiram Presence""}, ""P2_mg_presence"": {""f1_mean"": 0.6098446154818651, ""f1_std"": 0.1899274007197713, ""task_name"": ""MG Presence""}, ""P3_mba_presence"": {""f1_mean"": 0.8635300688683584, ""f1_std"": 0.0830197713827777, ""task_name"": ""MBA Presence""}}",completed,Spectrum-KAN exact p4 reproduction of the stage-01 screening-default strongest G2 anchor.,848.42,trials/skan_anchor_repro_01
skan_anchor_repro_02,102,anchor_repro,Spectrum-KAN,p1,P1-P3+G1-G3,"{""aug_enabled"": true, ""aug_n"": 4, ""batch_size"": 128, ""epochs"": 200, ""focal_gamma"": 2.0, ""label_smoothing"": 0.1, ""lr"": 0.0003, ""mixup_alpha"": 0.3, ""mixup_enabled"": true, ""optimizer"": ""adam"", ""patience"": 20, ""scheduler"": ""cosine"", ""use_class_weight"": true, ""val_frac"": 0.15, ""weight_decay"": 0.0001}",0.6920977153794335,0.4017997995281288,"{""G1_thiram_molar_grade"": {""f1_mean"": 0.656604229921695, ""f1_std"": 0.1258414625170561, ""task_name"": ""Thiram Positive Molar Grade""}, ""G2_mg_molar_grade"": {""f1_mean"": 0.4017997995281288, ""f1_std"": 0.0747581117279143, ""task_name"": ""MG Positive Molar Grade""}, ""G3_mba_molar_grade"": {""f1_mean"": 0.6866062907514248, ""f1_std"": 0.2065537283617545, ""task_name"": ""MBA Positive Molar Grade""}, ""P1_thiram_presence"": {""f1_mean"": 0.8976128714008033, ""f1_std"": 0.1079913528916873, ""task_name"": ""Thiram Presence""}, ""P2_mg_presence"": {""f1_mean"": 0.6596804006940739, ""f1_std"": 0.1616758542037253, ""task_name"": ""MG Presence""}, ""P3_mba_presence"": {""f1_mean"": 0.8502826999804756, ""f1_std"": 0.0726700629538515, ""task_name"": ""MBA Presence""}}",completed,Spectrum-KAN exact p1 reproduction of the stage-01 screening-default reference branch.,850.97,trials/skan_anchor_repro_02
rf_nsga_best_01,200,nsga_refine,RF,p4,P1-P3+G1-G3,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 30, ""max_features"": 0.17462802355441434, ""min_samples_leaf"": 7, ""n_estimators"": 800, ""n_jobs"": -1, ""random_state"": 42}",0.7693353939478342,0.504595946713747,"{""G1_thiram_molar_grade"": {""f1_mean"": 0.7841086384664172, ""f1_std"": 0.1186914903484426, ""task_name"": ""Thiram Positive Molar Grade""}, ""G2_mg_molar_grade"": {""f1_mean"": 0.504595946713747, ""f1_std"": 0.0977966544294588, ""task_name"": ""MG Positive Molar Grade""}, ""G3_mba_molar_grade"": {""f1_mean"": 0.7916146805865121, ""f1_std"": 0.0801224635954474, ""task_name"": ""MBA Positive Molar Grade""}, ""P1_thiram_presence"": {""f1_mean"": 0.8557566729706968, ""f1_std"": 0.0903808199384294, ""task_name"": ""Thiram Presence""}, ""P2_mg_presence"": {""f1_mean"": 0.8159413075926091, ""f1_std"": 0.0873493215284385, ""task_name"": ""MG Presence""}, ""P3_mba_presence"": {""f1_mean"": 0.8639951173570225, ""f1_std"": 0.0794541494027791, ""task_name"": ""MBA Presence""}}",completed,NSGA-II Pareto trial #1,88.790503,trials/rf_nsga_best_01
rf_nsga_best_02,201,nsga_refine,RF,p4,P1-P3+G1-G3,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 16, ""max_features"": 0.17462802355441434, ""min_samples_leaf"": 7, ""n_estimators"": 800, ""n_jobs"": -1, ""random_state"": 42}",0.7693353939478342,0.504595946713747,"{""G1_thiram_molar_grade"": {""f1_mean"": 0.7841086384664172, ""f1_std"": 0.1186914903484426, ""task_name"": ""Thiram Positive Molar Grade""}, ""G2_mg_molar_grade"": {""f1_mean"": 0.504595946713747, ""f1_std"": 0.0977966544294588, ""task_name"": ""MG Positive Molar Grade""}, ""G3_mba_molar_grade"": {""f1_mean"": 0.7916146805865121, ""f1_std"": 0.0801224635954474, ""task_name"": ""MBA Positive Molar Grade""}, ""P1_thiram_presence"": {""f1_mean"": 0.8557566729706968, ""f1_std"": 0.0903808199384294, ""task_name"": ""Thiram Presence""}, ""P2_mg_presence"": {""f1_mean"": 0.8159413075926091, ""f1_std"": 0.0873493215284385, ""task_name"": ""MG Presence""}, ""P3_mba_presence"": {""f1_mean"": 0.8639951173570225, ""f1_std"": 0.0794541494027791, ""task_name"": ""MBA Presence""}}",completed,NSGA-II Pareto trial #2,88.929904,trials/rf_nsga_best_02
rf_nsga_best_03,202,nsga_refine,RF,p4,P1-P3+G1-G3,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 10, ""max_features"": 0.2114585856946446, ""min_samples_leaf"": 8, ""n_estimators"": 800, ""n_jobs"": -1, ""random_state"": 42}",0.7701768888495728,0.5022453295399576,"{""G1_thiram_molar_grade"": {""f1_mean"": 0.7913939359154403, ""f1_std"": 0.1163821532776005, ""task_name"": ""Thiram Positive Molar Grade""}, ""G2_mg_molar_grade"": {""f1_mean"": 0.5022453295399576, ""f1_std"": 0.1035111562137123, ""task_name"": ""MG Positive Molar Grade""}, ""G3_mba_molar_grade"": {""f1_mean"": 0.7971842327733707, ""f1_std"": 0.0751654698438937, ""task_name"": ""MBA Positive Molar Grade""}, ""P1_thiram_presence"": {""f1_mean"": 0.8477227031947997, ""f1_std"": 0.1047832562046448, ""task_name"": ""Thiram Presence""}, ""P2_mg_presence"": {""f1_mean"": 0.8118555380339665, ""f1_std"": 0.0952974238351131, ""task_name"": ""MG Presence""}, ""P3_mba_presence"": {""f1_mean"": 0.8706595936399015, ""f1_std"": 0.079113207700971, ""task_name"": ""MBA Presence""}}",completed,NSGA-II Pareto trial #3,87.970999,trials/rf_nsga_best_03
