selection_stage,model_family,selected_trial_id,selected_phase,selection_metric_primary,selection_metric_secondary,preprocess,params_json,mean_f1_all,mean_f1_g2,ready_for_stage03,ready_reason,relative_dir,notes
02_representative_model_optimization,RF,rf_nsga_best_04,nsga_refine,mean_f1_all,mean_f1_g2,p4,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 22, ""max_features"": 0.19971689165954998, ""min_samples_leaf"": 7, ""n_estimators"": 700, ""n_jobs"": -1, ""random_state"": 42}",0.7704168691718397,0.5012139419445862,False,coarse_only,trials/rf_nsga_best_04,NSGA-II Pareto trial #4
02_representative_model_optimization,Spectrum-KAN,skan_anchor_repro_01,anchor_repro,mean_f1_g2,mean_f1_all,p4,"{""aug_enabled"": true, ""aug_n"": 4, ""batch_size"": 128, ""epochs"": 200, ""focal_gamma"": 2.0, ""label_smoothing"": 0.1, ""lr"": 0.0003, ""mixup_alpha"": 0.3, ""mixup_enabled"": true, ""optimizer"": ""adam"", ""patience"": 20, ""scheduler"": ""cosine"", ""use_class_weight"": true, ""val_frac"": 0.15, ""weight_decay"": 0.0001}",0.6762920961782264,0.5546015196818799,False,anchor_repro_completed_pending_refine,trials/skan_anchor_repro_01,Spectrum-KAN exact p4 reproduction of the stage-01 screening-default strongest G2 anchor.
