Task,TaskName,Model,Preprocess,F1_mean,F1_std,BA_mean,BA_std,Acc_mean,Acc_std
G1_thiram_molar_grade,Thiram Positive Molar Grade,Spectrum-KAN,p4,0.624866206725748,0.24770463006643292,0.673977203010646,0.24025841337644815,0.6196810913245197,0.2472625093664876
G2_mg_molar_grade,MG Positive Molar Grade,Spectrum-KAN,p4,0.39113253909379,0.22836940059526292,0.43672359786031895,0.22586551282728798,0.43196518151045343,0.23233272366215268
G3_mba_molar_grade,MBA Positive Molar Grade,Spectrum-KAN,p4,0.6200552530015969,0.18608960440135294,0.6335793095267542,0.17842738199870728,0.623679594572691,0.18738149685770497
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p4,0.6078999534750814,0.1611468489307406,0.6313196116894554,0.14797878207347048,0.7417128428798027,0.09323528285646991
P2_mg_presence,MG Presence,Spectrum-KAN,p4,0.5902348003172101,0.16004037851903166,0.5942006097076282,0.1507698639992846,0.7349378830191936,0.0887819779924623
P3_mba_presence,MBA Presence,Spectrum-KAN,p4,0.828766037513787,0.05632426456074592,0.8015595380828142,0.05792028647110778,0.8890032489078313,0.04568967437491603
