Task,TaskName,Model,Preprocess,Fold,MacroF1,BalancedAcc,Accuracy
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p4,0,0.7086046511627907,0.7721735820327369,0.7653631284916201
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p4,1,0.45024630541871924,0.47593083034740613,0.6555555555555556
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p4,2,0.4670967741935484,0.5213032581453634,0.6440677966101694
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p4,3,0.8282227784730913,0.8025568181818181,0.8688524590163934
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p4,4,0.5853292581272576,0.5846335697399527,0.7747252747252747
P2_mg_presence,MG Presence,Spectrum-KAN,p4,0,0.4795545932570368,0.5236164122137404,0.7374301675977654
P2_mg_presence,MG Presence,Spectrum-KAN,p4,1,0.606606714198703,0.6046365037120045,0.6611111111111111
P2_mg_presence,MG Presence,Spectrum-KAN,p4,2,0.5922381711855396,0.5872351332877649,0.7796610169491526
P2_mg_presence,MG Presence,Spectrum-KAN,p4,3,0.429421768707483,0.42338709677419356,0.639344262295082
P2_mg_presence,MG Presence,Spectrum-KAN,p4,4,0.8433527542372881,0.8321279025504378,0.8571428571428571
P3_mba_presence,MBA Presence,Spectrum-KAN,p4,0,0.8080575980392157,0.7846153846153846,0.8435754189944135
P3_mba_presence,MBA Presence,Spectrum-KAN,p4,1,0.8327359617682197,0.8298824355150026,0.8833333333333333
P3_mba_presence,MBA Presence,Spectrum-KAN,p4,2,0.8071895424836601,0.7722914669223394,0.9096045197740112
P3_mba_presence,MBA Presence,Spectrum-KAN,p4,3,0.7736082474226804,0.7352941176470589,0.8524590163934426
P3_mba_presence,MBA Presence,Spectrum-KAN,p4,4,0.9222388378551591,0.8857142857142857,0.9560439560439561
G1_thiram_molar_grade,Thiram Positive Molar Grade,Spectrum-KAN,p4,0,0.7087388801674516,0.7348808598808599,0.7112676056338029
G1_thiram_molar_grade,Thiram Positive Molar Grade,Spectrum-KAN,p4,1,0.6955260977630489,0.8478260869565218,0.6793893129770993
G1_thiram_molar_grade,Thiram Positive Molar Grade,Spectrum-KAN,p4,2,0.20885225885225886,0.2718839246353478,0.21052631578947367
G1_thiram_molar_grade,Thiram Positive Molar Grade,Spectrum-KAN,p4,3,0.8699507389162561,0.8608058608058609,0.875
G1_thiram_molar_grade,Thiram Positive Molar Grade,Spectrum-KAN,p4,4,0.6412630579297246,0.6544892827746395,0.6222222222222222
G2_mg_molar_grade,MG Positive Molar Grade,Spectrum-KAN,p4,0,0.0972466925578605,0.12430976430976431,0.09923664122137404
G2_mg_molar_grade,MG Positive Molar Grade,Spectrum-KAN,p4,1,0.48660197769310276,0.542571306939123,0.4793388429752066
G2_mg_molar_grade,MG Positive Molar Grade,Spectrum-KAN,p4,2,0.6218020022246941,0.6507177033492823,0.7443609022556391
G2_mg_molar_grade,MG Positive Molar Grade,Spectrum-KAN,p4,3,0.20267131242741,0.27579365079365076,0.3684210526315789
G2_mg_molar_grade,MG Positive Molar Grade,Spectrum-KAN,p4,4,0.5473407105658826,0.5902255639097744,0.46846846846846846
G3_mba_molar_grade,MBA Positive Molar Grade,Spectrum-KAN,p4,0,0.8626584964719614,0.8627002288329519,0.8596491228070176
G3_mba_molar_grade,MBA Positive Molar Grade,Spectrum-KAN,p4,1,0.5797272629657467,0.5970595888628676,0.5899280575539568
G3_mba_molar_grade,MBA Positive Molar Grade,Spectrum-KAN,p4,2,0.518719817964842,0.557853645173441,0.5234899328859061
G3_mba_molar_grade,MBA Positive Molar Grade,Spectrum-KAN,p4,3,0.7466042539213271,0.7497137558458314,0.7575757575757576
G3_mba_molar_grade,MBA Positive Molar Grade,Spectrum-KAN,p4,4,0.3925664336841075,0.40056932891867886,0.3877551020408163
