task,task_name,rank,feature_index,wavenumber,mean_abs_shap,matched_literature_peak
G3_mba_molar_grade,MBA Positive Molar Grade,16,1176,1576.0,0.0030221131676254494,MBA_1590(-14.0)
G3_mba_molar_grade,MBA Positive Molar Grade,17,1172,1572.0,0.002826258184549763,
G3_mba_molar_grade,MBA Positive Molar Grade,18,655,1055.0,0.002821766569208454,
G3_mba_molar_grade,MBA Positive Molar Grade,19,1037,1437.0,0.0027645713140065156,
G3_mba_molar_grade,MBA Positive Molar Grade,20,1181,1581.0,0.002637502083941451,MBA_1590(-9.0)
P1_thiram_presence,Thiram Presence,1,520,920.0,0.004700297730032687,Thiram_930(-10.0)
P1_thiram_presence,Thiram Presence,2,372,772.0,0.0046726903195006934,
P1_thiram_presence,Thiram Presence,3,365,765.0,0.004055991784990909,
P1_thiram_presence,Thiram Presence,4,1148,1548.0,0.0036074389478967274,
P1_thiram_presence,Thiram Presence,5,363,763.0,0.003297037132302282,
P1_thiram_presence,Thiram Presence,6,519,919.0,0.0032049970749710123,Thiram_930(-11.0)
P1_thiram_presence,Thiram Presence,7,364,764.0,0.0031210956790439642,
P1_thiram_presence,Thiram Presence,8,371,771.0,0.0030102295331909676,
P1_thiram_presence,Thiram Presence,9,523,923.0,0.0029275932008685107,Thiram_930(-7.0)
P1_thiram_presence,Thiram Presence,10,373,773.0,0.0028950390776203597,
P1_thiram_presence,Thiram Presence,11,1187,1587.0,0.002858115275931746,MBA_1590(-3.0)
P1_thiram_presence,Thiram Presence,12,521,921.0,0.002830117544787251,Thiram_930(-9.0)
P1_thiram_presence,Thiram Presence,13,975,1375.0,0.0028005393677081104,Thiram_1380(-5.0)
P1_thiram_presence,Thiram Presence,14,526,926.0,0.0027871139884045174,Thiram_930(-4.0)
P1_thiram_presence,Thiram Presence,15,518,918.0,0.0027207565059157494,Thiram_930(-12.0)
P1_thiram_presence,Thiram Presence,16,1110,1510.0,0.002678924769479402,Thiram_1510(+0.0)
P1_thiram_presence,Thiram Presence,17,1188,1588.0,0.0025947344069229337,MBA_1590(-2.0)
P1_thiram_presence,Thiram Presence,18,525,925.0,0.0025180489512416577,Thiram_930(-5.0)
P1_thiram_presence,Thiram Presence,19,289,689.0,0.0024859525774491038,
P1_thiram_presence,Thiram Presence,20,524,924.0,0.002317689707472176,Thiram_930(-6.0)
P2_mg_presence,MG Presence,1,1208,1608.0,0.005759509748076405,MG_1616(-8.0)
P2_mg_presence,MG Presence,2,768,1168.0,0.005730403437721854,MG_1172(-4.0)
P2_mg_presence,MG Presence,3,1209,1609.0,0.005095157783385024,MG_1616(-7.0)
P2_mg_presence,MG Presence,4,769,1169.0,0.004920972699225215,MG_1172(-3.0)
P2_mg_presence,MG Presence,5,1210,1610.0,0.004804301028569199,MG_1616(-6.0)
