task,task_name,feature_index,wavenumber,mean_abs_shap
G1_thiram_molar_grade,Thiram Positive Molar Grade,80,480.0,0.0012623039512770667
G1_thiram_molar_grade,Thiram Positive Molar Grade,400,800.0,0.001250689982587305
G1_thiram_molar_grade,Thiram Positive Molar Grade,973,1373.0,0.0012295328206254935
G1_thiram_molar_grade,Thiram Positive Molar Grade,75,475.0,0.0012036297970220758
G1_thiram_molar_grade,Thiram Positive Molar Grade,74,474.0,0.0011975052026929646
G1_thiram_molar_grade,Thiram Positive Molar Grade,76,476.0,0.0011767946784646812
G1_thiram_molar_grade,Thiram Positive Molar Grade,979,1379.0,0.0011748460614397337
G1_thiram_molar_grade,Thiram Positive Molar Grade,73,473.0,0.0011551486641062584
G1_thiram_molar_grade,Thiram Positive Molar Grade,476,876.0,0.0011535123149859553
G1_thiram_molar_grade,Thiram Positive Molar Grade,164,564.0,0.0011527427467838188
G1_thiram_molar_grade,Thiram Positive Molar Grade,1400,1800.0,0.0011464565456191656
G1_thiram_molar_grade,Thiram Positive Molar Grade,725,1125.0,0.001136548510542166
G1_thiram_molar_grade,Thiram Positive Molar Grade,401,801.0,0.0011325383334711745
G1_thiram_molar_grade,Thiram Positive Molar Grade,153,553.0,0.0011192220016584384
G1_thiram_molar_grade,Thiram Positive Molar Grade,978,1378.0,0.0011165787021786
G1_thiram_molar_grade,Thiram Positive Molar Grade,317,717.0,0.001111984282753803
G1_thiram_molar_grade,Thiram Positive Molar Grade,522,922.0,0.0010957946911970338
G1_thiram_molar_grade,Thiram Positive Molar Grade,299,699.0,0.0010906078174302272
G1_thiram_molar_grade,Thiram Positive Molar Grade,832,1232.0,0.0010841796450483188
G1_thiram_molar_grade,Thiram Positive Molar Grade,470,870.0,0.0010788716929000623
G1_thiram_molar_grade,Thiram Positive Molar Grade,1124,1524.0,0.0010735690017755757
G1_thiram_molar_grade,Thiram Positive Molar Grade,472,872.0,0.0010680197476730482
G1_thiram_molar_grade,Thiram Positive Molar Grade,1379,1779.0,0.0010625634379731797
G1_thiram_molar_grade,Thiram Positive Molar Grade,1205,1605.0,0.0010595260891841187
G1_thiram_molar_grade,Thiram Positive Molar Grade,1093,1493.0,0.0010576689036545291
G1_thiram_molar_grade,Thiram Positive Molar Grade,1170,1570.0,0.0010541762485774004
G1_thiram_molar_grade,Thiram Positive Molar Grade,471,871.0,0.001053380085372007
G1_thiram_molar_grade,Thiram Positive Molar Grade,831,1231.0,0.0010527660677814479
G1_thiram_molar_grade,Thiram Positive Molar Grade,157,557.0,0.0010402110459289341
G1_thiram_molar_grade,Thiram Positive Molar Grade,399,799.0,0.0010139905750401997
G1_thiram_molar_grade,Thiram Positive Molar Grade,723,1123.0,0.0010124742509002263
G1_thiram_molar_grade,Thiram Positive Molar Grade,42,442.0,0.0010110750328127345
G1_thiram_molar_grade,Thiram Positive Molar Grade,1090,1490.0,0.0010097932183143993
G1_thiram_molar_grade,Thiram Positive Molar Grade,484,884.0,0.0010069513987917564
G1_thiram_molar_grade,Thiram Positive Molar Grade,1128,1528.0,0.0009979331611370055
G1_thiram_molar_grade,Thiram Positive Molar Grade,79,479.0,0.000996709695619635
G1_thiram_molar_grade,Thiram Positive Molar Grade,1092,1492.0,0.0009912556134577541
G1_thiram_molar_grade,Thiram Positive Molar Grade,1378,1778.0,0.0009867159496569277
G1_thiram_molar_grade,Thiram Positive Molar Grade,480,880.0,0.0009752337441367459
G1_thiram_molar_grade,Thiram Positive Molar Grade,36,436.0,0.0009720831554613716
G1_thiram_molar_grade,Thiram Positive Molar Grade,313,713.0,0.0009705842923896023
G1_thiram_molar_grade,Thiram Positive Molar Grade,1030,1430.0,0.000965962254618952
G1_thiram_molar_grade,Thiram Positive Molar Grade,930,1330.0,0.0009621203523285485
G1_thiram_molar_grade,Thiram Positive Molar Grade,37,437.0,0.0009510410448600224
G1_thiram_molar_grade,Thiram Positive Molar Grade,397,797.0,0.0009465211801657548
