Task,TaskName,Model,Preprocess,F1_mean,F1_std,BA_mean,BA_std,Acc_mean,Acc_std
G1_thiram_molar_grade,Thiram Positive Molar Grade,Spectrum-KAN,p4,0.6537184021436825,0.08441844238598462,0.7139177056477083,0.0924676942969277,0.6455892951679094,0.08839121068656358
G2_mg_molar_grade,MG Positive Molar Grade,Spectrum-KAN,p4,0.5546015196818799,0.22504802140958544,0.5459515632806619,0.24653151660504813,0.6049774499891377,0.24563330591615323
G3_mba_molar_grade,MBA Positive Molar Grade,Spectrum-KAN,p4,0.6347328041544994,0.12953153269402576,0.6504331095631019,0.13378520367097574,0.6258526036765634,0.14158880847331726
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p4,0.7413251667390734,0.17297435130869385,0.756875532476083,0.16932389043339313,0.7803373238169682,0.17261298619456025
P2_mg_presence,MG Presence,Spectrum-KAN,p4,0.6098446154818651,0.1899274007197713,0.6165249986415224,0.17909902718503248,0.704189247871447,0.13788275697729843
P3_mba_presence,MBA Presence,Spectrum-KAN,p4,0.8635300688683584,0.08301977138277776,0.8534512391851943,0.09102043385995164,0.9041864553723371,0.07416339588243699
