run_id,task,task_name,retention_pct,n_features,macro_f1_mean,macro_f1_std
shap_feature_selection_extratrees_p1_20260528_125736,G2_mg_molar_grade,MG Positive Molar Grade,90,1261,0.965763413056448,0.0086722280928534
shap_feature_selection_extratrees_p1_20260528_125736,G2_mg_molar_grade,MG Positive Molar Grade,100,1401,0.9657450348226038,0.008761851619293
shap_feature_selection_extratrees_p1_20260528_125736,G3_mba_molar_grade,MBA Positive Molar Grade,10,141,0.9735897081052176,0.0121266795546982
shap_feature_selection_extratrees_p1_20260528_125736,G3_mba_molar_grade,MBA Positive Molar Grade,20,281,0.9807918811927028,0.0040861397235603
shap_feature_selection_extratrees_p1_20260528_125736,G3_mba_molar_grade,MBA Positive Molar Grade,30,421,0.9793070437418334,0.0033784005868312
shap_feature_selection_extratrees_p1_20260528_125736,G3_mba_molar_grade,MBA Positive Molar Grade,40,561,0.9793385203763914,0.0080936469451492
shap_feature_selection_extratrees_p1_20260528_125736,G3_mba_molar_grade,MBA Positive Molar Grade,50,701,0.9807718910370856,0.0066527167822605
shap_feature_selection_extratrees_p1_20260528_125736,G3_mba_molar_grade,MBA Positive Molar Grade,60,841,0.9778400719399892,0.0001593240166454
shap_feature_selection_extratrees_p1_20260528_125736,G3_mba_molar_grade,MBA Positive Molar Grade,70,981,0.9807862396002454,0.0040849963372015
shap_feature_selection_extratrees_p1_20260528_125736,G3_mba_molar_grade,MBA Positive Molar Grade,80,1121,0.9778396578068552,0.0090275584554822
shap_feature_selection_extratrees_p1_20260528_125736,G3_mba_molar_grade,MBA Positive Molar Grade,90,1261,0.9778737295017368,0.0050991684164846
shap_feature_selection_extratrees_p1_20260528_125736,G3_mba_molar_grade,MBA Positive Molar Grade,100,1401,0.9764224660091484,0.0061106545258144
