Task,TaskName,Model,Preprocess,F1_mean,F1_std,BA_mean,BA_std,Acc_mean,Acc_std
G1_thiram_molar_grade,Thiram Positive Molar Grade,RF,p4,0.7870925789099669,0.12350188744055485,0.8337952447407113,0.0958390060690752,0.7843892047806383,0.12867851881292244
G2_mg_molar_grade,MG Positive Molar Grade,RF,p4,0.5034842168895937,0.09837060331589449,0.5333260892274806,0.12947928672968945,0.5940430270098994,0.16908532903826845
G3_mba_molar_grade,MBA Positive Molar Grade,RF,p4,0.7841564037839858,0.0816933436262613,0.794578189836882,0.07720869271026222,0.7736446598588615,0.09461061330024415
P1_thiram_presence,Thiram Presence,RF,p4,0.8572391808332934,0.0858215622620931,0.8537302363154909,0.07968775080934269,0.885028540958742,0.07913950322090846
P2_mg_presence,MG Presence,RF,p4,0.816246978957289,0.0818324015790822,0.810808467356523,0.07618969616213886,0.8590042424125913,0.06683995357751468
P3_mba_presence,MBA Presence,RF,p4,0.8722525024366771,0.07518792961744221,0.8796191992218745,0.08551795197696296,0.9034294536632244,0.06624848405414716
