variant,peak,count,median,mean,max
p1,MBA_1080,63,9.210941606545374,35.45710890697567,606.1536947501795
p1,MG_1616,63,11.511855091975463,232.0680804710842,9103.930919193002
p1,Thiram_1382,63,5.118059724336345,12.498459985530388,54.91815460726557
p3,MBA_1080,63,10.624680217154978,16.764077882285765,92.3507504421589
p3,MG_1616,63,17.132464623036945,24.925510294741503,235.48312367901607
p3,Thiram_1382,63,4.324393101788549,9.266755731877621,37.44432072726479
p5,MBA_1080,63,35.61852199641446,67.45850271661082,1352.9150129577793
p5,MG_1616,63,38.44122234455554,44.16181545337472,261.86585742963547
p5,Thiram_1382,63,50.01499474737317,89.46254538391032,670.4242947911281
raw,MBA_1080,63,16.879904537852834,28.48808924460232,110.0953278641561
raw,MG_1616,63,16.516843176846198,27.58386947788577,121.11464016761941
raw,Thiram_1382,63,15.205241851137918,29.011690033481486,113.95004428019323
