Task,TaskName,Model,Preprocess,F1_mean,F1_std,BA_mean,BA_std,Acc_mean,Acc_std,FitSeconds_total,FitSeconds_mean,PredictSeconds_total
G1_thiram_molar_grade,Thiram Positive Molar Grade,1D-CNN,p1,0.9331877113824942,0.0201595941185698,0.9310621758599996,0.0235805919667748,0.9321841970052848,0.0203888511410107,259.49995555728674,51.89999111145735,0.1062376648187637
G1_thiram_molar_grade,Thiram Positive Molar Grade,1D-ResNet,p1,0.9285320960306817,0.0335426146548145,0.9288086911240424,0.0380674516297024,0.9291911332941868,0.0341958961550359,218.3865195587277,43.67730391174555,0.2581794187426567
G1_thiram_molar_grade,Thiram Positive Molar Grade,KAN-CNN,p1,0.8949608937865572,0.0322394433726804,0.8929768634088464,0.0325345996864448,0.8936947665883734,0.03400950094119,282.4970695152879,56.49941390305757,0.1063561290502548
G1_thiram_molar_grade,Thiram Positive Molar Grade,Spectrum-KAN,p1,0.9920191710719836,0.0097424269671162,0.9919449469281496,0.0100730655837349,0.9922953978273634,0.0094213417866801,335.2529970109463,67.05059940218925,0.1074526384472847
G2_mg_molar_grade,MG Positive Molar Grade,1D-CNN,p1,0.6772999720686804,0.0499893256379279,0.6947661671946946,0.04413142474212,0.6942788461538462,0.0404876490134107,145.61175376176834,29.122350752353668,0.0986872613430023
G2_mg_molar_grade,MG Positive Molar Grade,1D-ResNet,p1,0.7693155442680457,0.0442812277005236,0.7746475657464569,0.0413525420109348,0.7732211538461538,0.0415259117883289,125.01753048598766,25.003506097197533,0.0839726403355598
G2_mg_molar_grade,MG Positive Molar Grade,KAN-CNN,p1,0.6474655898811633,0.0307265058511664,0.6519080917730646,0.0310068984108013,0.6528365384615384,0.0313425036218235,146.1967492327094,29.23934984654188,0.1505474373698234
G2_mg_molar_grade,MG Positive Molar Grade,Spectrum-KAN,p1,0.4719015060511098,0.052053575911541,0.4937147869172638,0.0523406336160176,0.4951201923076923,0.0517159161994698,87.04035677015781,17.408071354031563,0.1237819790840148
G3_mba_molar_grade,MBA Positive Molar Grade,1D-CNN,p1,0.6273086493637086,0.0710049564325502,0.6477651479839376,0.0561178496256366,0.6477967018113003,0.0514840475000663,159.32756423950195,31.86551284790039,0.095794104039669
G3_mba_molar_grade,MBA Positive Molar Grade,1D-ResNet,p1,0.787166834840528,0.0734460503437425,0.7853061410308145,0.0728788064650918,0.7851527439848608,0.0731253248298603,126.03495172411203,25.206990344822408,0.1949929445981979
G3_mba_molar_grade,MBA Positive Molar Grade,KAN-CNN,p1,0.6771616011615584,0.0478614404094487,0.6875216745907106,0.0432801183374493,0.688477967018113,0.0444126397674523,207.78790543228388,41.55758108645678,0.2087204679846763
G3_mba_molar_grade,MBA Positive Molar Grade,Spectrum-KAN,p1,0.8657909619673523,0.0430316955954237,0.8672021131363257,0.0391892100700696,0.8664179507975127,0.0400138020116987,167.41547639667988,33.48309527933598,0.0602033957839012
P1_thiram_presence,Thiram Presence,1D-CNN,p1,0.928463316119313,0.0301299197492397,0.9290363153408748,0.0319506482836628,0.9423020257826888,0.0252809287100814,265.0302288979292,53.00604577958584,0.1680232882499694
P1_thiram_presence,Thiram Presence,1D-ResNet,p1,0.935971385179896,0.0189383334876006,0.9313688351588432,0.018022394585553,0.9489686924493554,0.0157767679901246,186.55736226588488,37.311472453176975,0.1236438974738121
P1_thiram_presence,Thiram Presence,KAN-CNN,p1,0.9196639607632152,0.0319256054350517,0.918166300166573,0.0473623601115574,0.9367648864333948,0.0222903455245266,305.4913879111409,61.098277582228185,0.1740660145878791
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p1,0.9544409920622406,0.0048340624124233,0.9420687153971984,0.0116122244697346,0.964487415592388,0.0029850291384687,223.67157323658463,44.734314647316936,0.0442719161510467
P2_mg_presence,MG Presence,1D-CNN,p1,0.9105184942985518,0.0242128889967234,0.8980742364253395,0.0258260517599673,0.930049109883364,0.0191663028685505,329.4245007634163,65.88490015268326,0.1276953294873237
P2_mg_presence,MG Presence,1D-ResNet,p1,0.9096475367650972,0.0146216069394988,0.8947030071644042,0.0221671154491008,0.9300920810313076,0.0099410703006886,247.4867995157838,49.49735990315676,0.1066697686910629
P2_mg_presence,MG Presence,KAN-CNN,p1,0.9157893311317086,0.0129300923830765,0.9132489630467572,0.0092636293890073,0.9323081645181092,0.011292386932069,378.6081214994192,75.72162429988384,0.2361892685294151
P2_mg_presence,MG Presence,Spectrum-KAN,p1,0.9098660109477674,0.0278463523795168,0.9169716251885368,0.0201073817662492,0.92561080417434,0.024475918345924,235.6110594123602,47.12221188247204,0.1764615997672081
P3_mba_presence,MBA Presence,1D-CNN,p1,0.9274105068866032,0.0156232645308386,0.9090989279429272,0.0200909884637808,0.948950276243094,0.0106552471199446,310.29880126565695,62.05976025313139,0.2706058174371719
P3_mba_presence,MBA Presence,1D-ResNet,p1,0.9138593356268344,0.0368545135674933,0.8848521027624745,0.0480979245238693,0.9422713321055862,0.0224663186741495,182.3987976014614,36.47975952029228,0.1925256699323654
P3_mba_presence,MBA Presence,KAN-CNN,p1,0.8722712353964102,0.0333196476225014,0.8327232090039762,0.0379230952020232,0.9178637200736648,0.0173313173428692,417.7019395828247,83.54038791656494,0.1200117766857147
P3_mba_presence,MBA Presence,Spectrum-KAN,p1,0.9112709944558702,0.0694111408060155,0.9397931159041328,0.0499929260621381,0.9279312461632904,0.0577818070792084,180.2497588545084,36.04995177090168,0.1265238523483276
G1_thiram_molar_grade,Thiram Positive Molar Grade,RamanNet-Lite,p1,0.996963784507791,0.004163766263118508,0.9970664087685364,0.004020621718103235,0.9969348209042865,0.004197220678010429,158.86667919903994,31.773335839807988,0.10597655177116394
G2_mg_molar_grade,MG Positive Molar Grade,RamanNet-Lite,p1,0.7674604967925033,0.03730359913584966,0.7680274965322134,0.04086205677366181,0.765625,0.038369029371888325,71.78110051900148,14.356220103800297,0.1967056840658188
G3_mba_molar_grade,MBA Positive Molar Grade,RamanNet-Lite,p1,0.887933080877841,0.019633101464902082,0.8887757813924368,0.020295023740354672,0.888294133549608,0.019789021401131923,89.30927783250809,17.861855566501617,0.348059244453907
