run_id,task,task_name,retention_pct,selection_rank,feature_index,wavenumber,mean_abs_shap
shap_feature_selection_extratrees_p1_20260527_001506,P1_thiram_presence,Thiram Presence,30,52,367,767.0,0.0017813180222943
shap_feature_selection_extratrees_p1_20260527_001506,P1_thiram_presence,Thiram Presence,30,53,288,688.0,0.0017695163910421
shap_feature_selection_extratrees_p1_20260527_001506,P1_thiram_presence,Thiram Presence,30,54,1117,1517.0,0.0017584441499315
shap_feature_selection_extratrees_p1_20260527_001506,P1_thiram_presence,Thiram Presence,30,55,891,1291.0,0.0017245203143726
shap_feature_selection_extratrees_p1_20260527_001506,P1_thiram_presence,Thiram Presence,30,56,980,1380.0,0.0017210162413319
shap_feature_selection_extratrees_p1_20260527_001506,P1_thiram_presence,Thiram Presence,30,57,1186,1586.0,0.0017054243289571
shap_feature_selection_extratrees_p1_20260527_001506,P1_thiram_presence,Thiram Presence,30,58,517,917.0,0.0017038097240975
shap_feature_selection_extratrees_p1_20260527_001506,P1_thiram_presence,Thiram Presence,30,59,369,769.0,0.0016818205118434
shap_feature_selection_extratrees_p1_20260527_001506,P1_thiram_presence,Thiram Presence,30,60,153,553.0,0.0016645754688465
shap_feature_selection_extratrees_p1_20260527_001506,P1_thiram_presence,Thiram Presence,30,61,146,546.0,0.0016537350450247
shap_feature_selection_extratrees_p1_20260527_001506,P1_thiram_presence,Thiram Presence,30,62,933,1333.0,0.0016086044777778
shap_feature_selection_extratrees_p1_20260527_001506,P1_thiram_presence,Thiram Presence,30,63,934,1334.0,0.001607136267221
shap_feature_selection_extratrees_p1_20260527_001506,P1_thiram_presence,Thiram Presence,30,64,139,539.0,0.0016036817616945
shap_feature_selection_extratrees_p1_20260527_001506,P1_thiram_presence,Thiram Presence,30,65,1120,1520.0,0.0015927465834506
shap_feature_selection_extratrees_p1_20260527_001506,P1_thiram_presence,Thiram Presence,30,66,662,1062.0,0.0015833221139485
shap_feature_selection_extratrees_p1_20260527_001506,P1_thiram_presence,Thiram Presence,30,67,1106,1506.0,0.0015808421824231
shap_feature_selection_extratrees_p1_20260527_001506,P1_thiram_presence,Thiram Presence,30,68,516,916.0,0.0015758443899289
shap_feature_selection_extratrees_p1_20260527_001506,P1_thiram_presence,Thiram Presence,30,69,725,1125.0,0.0015677245220964
shap_feature_selection_extratrees_p1_20260527_001506,P1_thiram_presence,Thiram Presence,30,70,976,1376.0,0.0015599938187709
shap_feature_selection_extratrees_p1_20260527_001506,P1_thiram_presence,Thiram Presence,30,71,727,1127.0,0.0015430832280741
shap_feature_selection_extratrees_p1_20260527_001506,P1_thiram_presence,Thiram Presence,30,72,1149,1549.0,0.0015419570276845
shap_feature_selection_extratrees_p1_20260527_001506,P1_thiram_presence,Thiram Presence,30,73,738,1138.0,0.0015318096990358
shap_feature_selection_extratrees_p1_20260527_001506,P1_thiram_presence,Thiram Presence,30,74,156,556.0,0.001503942769241
shap_feature_selection_extratrees_p1_20260527_001506,P1_thiram_presence,Thiram Presence,30,75,160,560.0,0.0014982818920558
shap_feature_selection_extratrees_p1_20260527_001506,P1_thiram_presence,Thiram Presence,30,76,1101,1501.0,0.0014968013530964
shap_feature_selection_extratrees_p1_20260527_001506,P1_thiram_presence,Thiram Presence,30,77,366,766.0,0.0014914975573076
shap_feature_selection_extratrees_p1_20260527_001506,P1_thiram_presence,Thiram Presence,30,78,730,1130.0,0.0014851227576254
shap_feature_selection_extratrees_p1_20260527_001506,P1_thiram_presence,Thiram Presence,30,79,562,962.0,0.0014846914197812
shap_feature_selection_extratrees_p1_20260527_001506,P1_thiram_presence,Thiram Presence,30,80,141,541.0,0.0014804310237313
shap_feature_selection_extratrees_p1_20260527_001506,P1_thiram_presence,Thiram Presence,30,81,384,784.0,0.0014746941798869
shap_feature_selection_extratrees_p1_20260527_001506,P1_thiram_presence,Thiram Presence,30,82,1012,1412.0,0.0014746133471663
shap_feature_selection_extratrees_p1_20260527_001506,P1_thiram_presence,Thiram Presence,30,83,972,1372.0,0.001462244964934
shap_feature_selection_extratrees_p1_20260527_001506,P1_thiram_presence,Thiram Presence,30,84,602,1002.0,0.0014511451299702
shap_feature_selection_extratrees_p1_20260527_001506,P1_thiram_presence,Thiram Presence,30,85,183,583.0,0.0014293038045737
shap_feature_selection_extratrees_p1_20260527_001506,P1_thiram_presence,Thiram Presence,30,86,578,978.0,0.0014288660663868
shap_feature_selection_extratrees_p1_20260527_001506,P1_thiram_presence,Thiram Presence,30,87,147,547.0,0.0014189882197702
shap_feature_selection_extratrees_p1_20260527_001506,P1_thiram_presence,Thiram Presence,30,88,729,1129.0,0.0014172182027661
shap_feature_selection_extratrees_p1_20260527_001506,P1_thiram_presence,Thiram Presence,30,89,528,928.0,0.0014107801337311
shap_feature_selection_extratrees_p1_20260527_001506,P1_thiram_presence,Thiram Presence,30,90,785,1185.0,0.0014075465860207
shap_feature_selection_extratrees_p1_20260527_001506,P1_thiram_presence,Thiram Presence,30,91,527,927.0,0.0013969910546562
shap_feature_selection_extratrees_p1_20260527_001506,P1_thiram_presence,Thiram Presence,30,92,151,551.0,0.0013927296142581
shap_feature_selection_extratrees_p1_20260527_001506,P1_thiram_presence,Thiram Presence,30,93,377,777.0,0.0013899162163342
shap_feature_selection_extratrees_p1_20260527_001506,P1_thiram_presence,Thiram Presence,30,94,380,780.0,0.0013827776301476
shap_feature_selection_extratrees_p1_20260527_001506,P1_thiram_presence,Thiram Presence,30,95,1097,1497.0,0.0013783417549972
shap_feature_selection_extratrees_p1_20260527_001506,P1_thiram_presence,Thiram Presence,30,96,930,1330.0,0.0013586672812382
shap_feature_selection_extratrees_p1_20260527_001506,P1_thiram_presence,Thiram Presence,30,97,1185,1585.0,0.0013428106528259
shap_feature_selection_extratrees_p1_20260527_001506,P1_thiram_presence,Thiram Presence,30,98,362,762.0,0.0013418542255824
shap_feature_selection_extratrees_p1_20260527_001506,P1_thiram_presence,Thiram Presence,30,99,1028,1428.0,0.0013270981278417
shap_feature_selection_extratrees_p1_20260527_001506,P1_thiram_presence,Thiram Presence,30,100,1027,1427.0,0.001320372185788
shap_feature_selection_extratrees_p1_20260527_001506,P1_thiram_presence,Thiram Presence,30,101,927,1327.0,0.0013125553819941
shap_feature_selection_extratrees_p1_20260527_001506,P1_thiram_presence,Thiram Presence,30,102,726,1126.0,0.0013120670774731
shap_feature_selection_extratrees_p1_20260527_001506,P1_thiram_presence,Thiram Presence,30,103,386,786.0,0.0013078143524979
