sample_id,folder_name,mixture_order,family,PCA1,PCA2,tSNE1,tSNE2,UMAP1,UMAP2
S0050,K4m6,2,binary_MG_MBA,29.580678849187233,2.673786942810649,34.50303,7.529319,-16.51542,7.975305
S0051,K4m6,2,binary_MG_MBA,28.913622097314885,1.7986134849755933,33.70699,6.0572023,-16.589703,8.06994
S0052,K4m6,2,binary_MG_MBA,28.78805480721206,1.9840116675706823,33.833527,6.22532,-16.56782,8.046753
S0053,K4m6,2,binary_MG_MBA,29.035522054602886,2.1840523765183537,33.968605,6.257627,-16.569017,8.06546
S0054,K4m6,2,binary_MG_MBA,29.219904844721906,2.0894024185570785,34.044468,6.271229,-16.603857,8.092855
S0055,K4m6,2,binary_MG_MBA,29.240394592282613,2.358096178408443,34.08473,6.675607,-16.561556,8.053696
S0056,K4m6,2,binary_MG_MBA,28.884110007905896,2.4202177485788283,34.159203,7.016232,-16.590351,8.07353
S0057,K4m6,2,binary_MG_MBA,29.381052818261193,2.3206464117745895,34.265778,6.731296,-16.609835,8.121141
S0058,K4m6,2,binary_MG_MBA,29.159478172622,2.4773739696982515,34.024258,6.674884,-16.54811,8.0404625
S0059,K4m6,2,binary_MG_MBA,29.142147810730258,2.611283380886641,34.37425,7.34941,-16.54147,7.9947286
S0060,K4m6,2,binary_MG_MBA,29.077718601417168,2.6132906044089275,33.956833,6.960134,-16.565193,8.044672
S0061,K4m6,2,binary_MG_MBA,29.230842360430024,2.5200692604157564,34.37966,7.425451,-16.46265,7.9229646
S0062,K5,1,single,28.57133707875919,0.9740606592250511,35.291187,-3.928265,-18.201601,10.358477
S0063,K5,1,single,28.790396602671805,0.44825012808043596,35.651924,-4.3774667,-18.291214,10.312803
S0064,K5,1,single,28.919781606255054,0.7124045767942764,35.616592,-4.0994244,-18.20703,10.210935
S0065,K5,1,single,29.339757478551114,0.14248872758649703,35.659306,-4.2297916,-18.384993,10.196578
S0066,K5,1,single,28.481393389146334,-2.629737692379275,35.63301,-5.2194114,-18.526302,10.252861
S0067,K5,1,single,28.8992541180352,-1.0180263995114696,36.431225,-4.8146405,-18.537735,10.245786
S0068,K5,1,single,26.449647514000468,-2.3236553468047845,37.05608,-5.0534115,-18.419683,10.143443
S0069,K5,1,single,26.577919675654254,-3.948951985198994,37.147617,-5.137825,-18.446487,10.114696
S0070,K5,1,single,27.792647512395877,-1.7344477304116452,37.424667,-5.097163,-18.381157,10.153853
S0071,K5,1,single,28.474051200662544,-1.257555793517955,36.25123,-4.6773024,-18.329937,10.239828
S0072,K5,1,single,28.511286418353432,-1.1868767814823973,36.5804,-4.8355284,-18.43359,10.109898
S0073,K5,1,single,28.14641365670235,0.21987631354586282,35.326317,-4.3350863,-18.27274,10.273206
S0074,K5,1,single,27.70422924612221,0.38535579752718707,34.96079,-4.62468,-18.28155,10.258367
S0075,K5,1,single,27.486782416938805,3.5359076356161823,32.394287,-4.594952,-18.155767,10.355762
S0076,K5,1,single,25.71275839716637,6.047667744100922,32.01907,-4.687847,-18.144,10.379523
S0077,K5,1,single,24.87199695291589,5.40910785112454,32.302845,-5.183897,-18.15273,10.456778
S0078,K5,1,single,24.850468070197007,-3.5807994566227417,37.7853,-5.253307,-18.43094,10.099892
S0079,K5,1,single,23.300646525746412,-6.191767504444822,37.988052,-5.4015617,-18.458122,10.055353
S0080,K5,1,single,19.741077817075876,14.20910672563399,30.466085,-5.029584,-18.16022,10.443613
S0081,K5,1,single,17.415777162553884,15.767710325348881,30.41079,-5.053411,-18.12419,10.379277
S0082,K5,1,single,27.009458415564538,5.74648704713322,32.139095,-4.598775,-18.14841,10.379828
S0083,K5,1,single,26.357925335564783,7.972530504951993,31.883099,-4.6765,-18.2092,10.366124
S0084,K5,1,single,26.615393280340513,8.385066715637178,31.7855,-4.6449304,-18.149263,10.418873
