variant,folder_name,peak,peak_wn,n_spectra,mean_peak,std_peak,rsd_percent,has_thiram,has_mg,has_mba,peak_label
p5,美5K4m5,Thiram_1382,1382,18,1.306176077224891,0.4228921200410584,32.37634859608954,True,True,True,Thiram 1382
p5,美5K4m5,MG_1616,1616,18,5.585501066430396,0.6121323192215337,10.959308966934591,True,True,True,MG 1616
p5,美5K4m5,MBA_1080,1080,18,0.1364898500874737,0.0481278496765845,35.261119889676976,True,True,True,4-MBA 1080
p5,美5K4m6,Thiram_1382,1382,14,1.1496441884864683,0.0705689597981308,6.138330494327679,True,True,True,Thiram 1382
p5,美5K4m6,MG_1616,1616,14,5.351657383343221,0.215439021702467,4.025650490500583,True,True,True,MG 1616
p5,美5K4m6,MBA_1080,1080,14,0.0997771413016784,0.0871814427610995,87.37616815208655,True,True,True,4-MBA 1080
p5,美5K5,Thiram_1382,1382,14,0.1036547186297356,0.1205793482172188,116.3278911092698,True,True,False,Thiram 1382
p5,美5K5,MG_1616,1616,14,1.1216829309580838,0.2703168362748644,24.099219914488117,True,True,False,MG 1616
p5,美5K5m4,Thiram_1382,1382,15,-0.0072264340025506,0.0484477692001463,670.4242947911281,True,True,True,Thiram 1382
p5,美5K5m4,MG_1616,1616,15,0.4197872316923959,0.0803109531986857,19.131347295844996,True,True,True,MG 1616
p5,美5K5m4,MBA_1080,1080,15,5.700136049164993,0.6118292058565211,10.733589524519283,True,True,True,4-MBA 1080
p5,美5K5m5,Thiram_1382,1382,14,0.7948849295635559,0.2577192351851661,32.42220673710231,True,True,True,Thiram 1382
p5,美5K5m5,MG_1616,1616,14,3.1620290115350307,0.2143119315014487,6.777671258538182,True,True,True,MG 1616
p5,美5K5m5,MBA_1080,1080,14,1.712383278243336,0.2558784822483317,14.94282766594328,True,True,True,4-MBA 1080
p5,美5K5m6,Thiram_1382,1382,15,0.6122468367955546,0.2794052324211838,45.63604344345264,True,True,True,Thiram 1382
p5,美5K5m6,MG_1616,1616,15,3.466544014499972,0.2494318487447759,7.195404059531462,True,True,True,MG 1616
p5,美5K5m6,MBA_1080,1080,15,0.4592884512217758,0.2061137908881752,44.87676324973594,True,True,True,4-MBA 1080
p5,美5K6,Thiram_1382,1382,2,1.773311530278222,1.793602162517948,101.144222653114,True,True,False,Thiram 1382
p5,美5K6,MG_1616,1616,2,0.2106264911124552,0.1327966336326903,63.048400479590704,True,True,False,MG 1616
p5,美5K6m4,Thiram_1382,1382,14,0.0750853182520045,0.099900660942799,133.04952721583768,True,True,True,Thiram 1382
p5,美5K6m4,MG_1616,1616,14,0.3228048996801724,0.1200052012519984,37.17576820268118,True,True,True,MG 1616
p5,美5K6m4,MBA_1080,1080,14,7.229531663289814,0.3799523992689793,5.255560345607244,True,True,True,4-MBA 1080
p5,美5K6m5,Thiram_1382,1382,13,-0.3874215748311612,0.4298462684439854,110.95052427870417,True,True,True,Thiram 1382
p5,美5K6m5,MG_1616,1616,13,1.3679474975401338,0.346416438864872,25.32381100062713,True,True,True,MG 1616
p5,美5K6m5,MBA_1080,1080,13,2.3886911978217507,0.5474703268266973,22.919259187873926,True,True,True,4-MBA 1080
p5,美5K6m6,Thiram_1382,1382,19,-0.1903770557509257,0.522793881548195,274.6097104433515,True,True,True,Thiram 1382
p5,美5K6m6,MG_1616,1616,19,2.3319970487122457,0.6346423286585174,27.214542531645737,True,True,True,MG 1616
p5,美5K6m6,MBA_1080,1080,19,1.7040995044244265,0.6202374077102667,36.39678352701341,True,True,True,4-MBA 1080
p5,美5m4,Thiram_1382,1382,16,0.0463923829967522,0.0457803259146655,98.68069488448224,True,False,True,Thiram 1382
p5,美5m4,MBA_1080,1080,16,3.1602815234420443,0.8391128476394909,26.55183854397772,True,False,True,4-MBA 1080
p5,美5m5,Thiram_1382,1382,16,0.1694947787496004,0.4192136879906749,247.3313284829803,True,False,True,Thiram 1382
p5,美5m5,MBA_1080,1080,16,2.8854254023526797,0.580831059340663,20.12982414541277,True,False,True,4-MBA 1080
p5,美5m6,Thiram_1382,1382,20,-0.1890365416303877,0.8674149563260933,458.86099525778457,True,False,True,Thiram 1382
p5,美5m6,MBA_1080,1080,20,0.9531079593449906,0.4063117236900421,42.63018892101938,True,False,True,4-MBA 1080
p5,美6,Thiram_1382,1382,20,4.375509313382801,2.5555092729572557,58.40484135506355,True,False,False,Thiram 1382
p5,美6K4,Thiram_1382,1382,12,1.2854526672786084,0.1905761144879448,14.825603411085336,True,True,False,Thiram 1382
p5,美6K4,MG_1616,1616,12,3.992330835504208,0.7625954369349687,19.101509077181912,True,True,False,MG 1616
p5,美6K4m4,Thiram_1382,1382,12,0.5282574728090116,0.4505388629877583,85.28774057696066,True,True,True,Thiram 1382
p5,美6K4m4,MG_1616,1616,12,1.505637303685042,0.9489256050599972,63.024846869661445,True,True,True,MG 1616
p5,美6K4m4,MBA_1080,1080,12,6.452002263378888,2.5383324120376263,39.3417780778693,True,True,True,4-MBA 1080
p5,美6K4m5,Thiram_1382,1382,12,1.298329473371094,0.059384966778807,4.573951989598974,True,True,True,Thiram 1382
p5,美6K4m5,MG_1616,1616,12,4.351303854419578,0.104192216728077,2.394505651961079,True,True,True,MG 1616
p5,美6K4m5,MBA_1080,1080,12,0.5322649341619643,0.0577380124861194,10.8476077946082,True,True,True,4-MBA 1080
p5,美6K4m6,Thiram_1382,1382,12,0.521735592951749,0.3761643059507651,72.09864748206924,True,True,True,Thiram 1382
p5,美6K4m6,MG_1616,1616,12,1.4764667028750649,0.7894483837038848,53.468756333388576,True,True,True,MG 1616
p5,美6K4m6,MBA_1080,1080,12,1.7670643289812171,1.2069261335782595,68.30119955361788,True,True,True,4-MBA 1080
p5,美6K5,Thiram_1382,1382,12,0.8585032130153539,0.3231968753472458,37.64655396129141,True,True,False,Thiram 1382
p5,美6K5,MG_1616,1616,12,3.494270810183872,0.3841318131839186,10.993189539413663,True,True,False,MG 1616
p5,美6K5m4,Thiram_1382,1382,8,0.3987644762681743,0.3180138748796144,79.74980064817659,True,True,True,Thiram 1382
p5,美6K5m4,MG_1616,1616,8,1.4599622256290117,0.7551533288876064,51.72416899774619,True,True,True,MG 1616
p5,美6K5m4,MBA_1080,1080,8,3.861808955653044,2.6703990665238977,69.14891692440868,True,True,True,4-MBA 1080
p5,美6K5m5,Thiram_1382,1382,12,1.3102870317523598,0.1703172380938644,12.99846781403953,True,True,True,Thiram 1382
p5,美6K5m5,MG_1616,1616,12,3.890506368651677,0.7445108904592046,19.13660639289039,True,True,True,MG 1616
p5,美6K5m5,MBA_1080,1080,12,1.0671958709024063,0.2316152398542603,21.703161169318403,True,True,True,4-MBA 1080
p5,美6K5m6,Thiram_1382,1382,5,0.8449727214056818,0.5113031602833521,60.511203182128426,True,True,True,Thiram 1382
p5,美6K5m6,MG_1616,1616,5,3.9021206644230033,0.6600580620611172,16.91536779164973,True,True,True,MG 1616
p5,美6K5m6,MBA_1080,1080,5,0.7753101089512029,0.6525159461877051,84.16192935629242,True,True,True,4-MBA 1080
p5,美6K6,Thiram_1382,1382,13,0.4168040686681599,0.6819085819908584,163.60410880100173,True,True,False,Thiram 1382
p5,美6K6,MG_1616,1616,13,3.1370637102937176,0.5743617216817349,18.308895665620973,True,True,False,MG 1616
p5,美6K6m4,Thiram_1382,1382,9,0.3982042643337405,0.2887240789488669,72.50652612471353,True,True,True,Thiram 1382
p5,美6K6m4,MG_1616,1616,9,1.1401451683929524,0.6962449227041647,61.06633979649537,True,True,True,MG 1616
p5,美6K6m4,MBA_1080,1080,9,3.8203381575706734,2.0995560130696336,54.95733431107382,True,True,True,4-MBA 1080
p5,美6K6m5,Thiram_1382,1382,9,0.3307672662819814,0.3087659791665941,93.34840857661196,True,True,True,Thiram 1382
p5,美6K6m5,MG_1616,1616,9,1.0336026847638855,0.5518999767453955,53.39575688809967,True,True,True,MG 1616
p5,美6K6m5,MBA_1080,1080,9,6.266626381989722,2.0406464160700555,32.56371597219951,True,True,True,4-MBA 1080
p5,美6K6m6,Thiram_1382,1382,14,1.2309022640579643,0.1905407244307111,15.47976065967642,True,True,True,Thiram 1382
p5,美6K6m6,MG_1616,1616,14,3.616543763077401,0.3419432477945765,9.45497331694416,True,True,True,MG 1616
p5,美6K6m6,MBA_1080,1080,14,0.6628122157783893,0.2866260699761795,43.24393291991056,True,True,True,4-MBA 1080
p5,美6m4,Thiram_1382,1382,12,0.285624915593998,0.363808256611321,127.37273142111204,True,False,True,Thiram 1382
p5,美6m4,MBA_1080,1080,12,5.881586670769315,3.51765754983504,59.80796929028215,True,False,True,4-MBA 1080
p5,美6m5,Thiram_1382,1382,12,0.5650533398229655,0.3910836124270583,69.21180442001938,True,False,True,Thiram 1382
p5,美6m5,MBA_1080,1080,12,1.9378410825530756,1.5157912988681377,78.22061945714898,True,False,True,4-MBA 1080
p5,美6m6,Thiram_1382,1382,15,0.2480227675619538,0.5575348969156847,224.79182149131432,True,False,True,Thiram 1382
p5,美6m6,MBA_1080,1080,15,1.514192324805795,0.418034650554121,27.607764463324475,True,False,True,4-MBA 1080
